name,layer,liveness,decl_site,apply_site,form,constants,consumers,roster_factor,roster_factor_text,constants_in_param_manifest,constants_not_in_param_manifest,hand_verified,notes
scoreTemplateTones,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:450-463,src/composing/analysis/chord/chordanalyzer.cpp:1467,"additive weighted presence sum per template tone; per-position factor x min(weight, cap)",kRootToneFactor=1.8 [hand-set]; kSecondToneFactor=1.2 [hand-set]; kOtherToneFactor=1.0 [hand-set]; kTemplateToneWeightCap=3.0 [hand-set],basisIndepMatrix -> cell.basisIndep -> competition pipeline,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",kOtherToneFactor;kRootToneFactor;kSecondToneFactor;kTemplateToneWeightCap,,yes,root>second>other ordering claimed theory-grounded in code comment; values empirical
scoreExtraNotes,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:473-544,src/composing/analysis/chord/chordanalyzer.cpp:1468,"signed additive per non-template pc: Extension +factor*min(w,cap); Contradiction -kContradictionPenalty*...; Foreign -kForeignPenalty*...",kContradictionPenalty=0.75 [hand-set]; kExtensionFactor7th=0.45 [hand-set]; kExtensionFactorFlat13=0.20 [hand-set]; kExtensionFactorDefault=0.35 [hand-set]; kForeignPenalty=0.45 [hand-set]; kExtraNoteWeightCap=2.0 [hand-set],basisIndep -> competition pipeline,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",kContradictionPenalty;kExtensionFactor7th;kExtensionFactorDefault;kExtensionFactorFlat13;kExtraNoteWeightCap;kForeignPenalty,,yes,inline bars: w<0.01 not-sounding cutoff (:487); M3/P4-absent contradiction overrides test <0.1 (:505/:511)
Sus4 TPC third disambiguation,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:98-99,src/composing/analysis/chord/chordanalyzer.cpp:~520 (inside scoreExtraNotes),"spelling-conditioned extension factor override for interval 3 over Sus4: Eb spelling -> 0.10, D# spelling -> 0.45",kSus4FlatThirdFactor=0.10 [hand-set]; kSus4SharpThirdFactor=0.45 [hand-set],scoreExtraNotes,F3,notated spelling + accidentals -> spelling-conditioned emission + mode disambiguation,kSus4FlatThirdFactor;kSus4SharpThirdFactor,,yes,one of the few live spelling-conditioned emission terms
dim7CharacteristicBonus,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:555-585,src/composing/analysis/chord/chordanalyzer.cpp:1469-1470,conditional additive bonus = rotation selector: Diminished + dim7 pc sounding + full triad + dim7 pc NON-diatonic to signature collection (pcInMask),kDim7CharacteristicBonus=0.75 [hand-set],basisIndep,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",kDim7CharacteristicBonus,,yes,"OI-168-fixed form (signature mask, no tonic); THE dim7 rotation-selection mechanism (do not remove without replacement)"
nonBassAdjustment,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:632-654,src/composing/analysis/chord/chordanalyzer.cpp:1581,subtractive penalty for Min7/4-note-Sus4/HalfDim with root!=bass; waived on full TPC spelling match,kNonBassPenalty=0.35 [hand-set],basisDep,F9,bass-motion skeletons -> bass/inversion emission,kNonBassPenalty,,yes,TPC waiver is a spelling-conditioned exception (F3 aspect)
structuralPenalties,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:660-743,src/composing/analysis/chord/chordanalyzer.cpp:1471,subtractive template-family consistency penalties (missing defining tones; enharmonic ambiguity; power-chord vs triad),kSus4MissingFourth=0.70 [hand-set]; kSus4StructuralFourthThreshold=0.50 [hand-set]; kSus4VariantMissing7th=0.70 [hand-set]; kSus4Maj7MissingP5=0.50 [hand-set]; kDom7FlatFiveTpcPenalty=0.55 [hand-set]; kDom7FlatFiveMissing7th=0.50 [hand-set]; kPowerChord3PcPenalty=0.30 [hand-set],basisIndep,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",kDom7FlatFiveMissing7th;kDom7FlatFiveTpcPenalty;kPowerChord3PcPenalty;kSus4Maj7MissingP5;kSus4MissingFourth;kSus4StructuralFourthThreshold;kSus4VariantMissing7th,,yes,inline 0.05 presence bars at :697/:709/:731 (OI-106b); distinctPcs>=3 power gate :738
tpcConsistencyBonus,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:748-754,src/composing/analysis/chord/chordanalyzer.cpp:1472,additive per non-root template tone whose authored TPC matches the expected circle-of-fifths delta,tpcConsistencyBonusPerTone=0.20 [hand-set],basisIndep,F3,notated spelling + accidentals -> spelling-conditioned emission + mode disambiguation,tpcConsistencyBonusPerTone,,yes,the main live spelling-conditioned chord emission term
appliedBassRootBonus + bassRootBonusMultiplier,L4-oracle,live,"src/composing/analysis/chord/chordanalyzer.cpp:756-805,872-883",src/composing/analysis/chord/chordanalyzer.cpp:1574-1581,additive bass-root reward x support-shell multiplier (full 1.0 / shell 0.3 / bare 0.1),bassNoteRootBonus=0.70 [hand-set]; bassRootThirdOnlyMultiplier=0.3 [hand-set]; bassRootAloneMultiplier=0.1 [hand-set]; kBassSupportPresenceThreshold=0.05 [hand-set],basisDep + cell.appliedBassBonus (threshold de-inflation),F9,bass-motion skeletons -> bass/inversion emission,bassNoteRootBonus;bassRootAloneMultiplier;bassRootThirdOnlyMultiplier;kBassSupportPresenceThreshold,,yes,
diatonicRootContribution,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:910-917,src/composing/analysis/chord/chordanalyzer.cpp:1473,"additive bonus when candidate root is in the key SIGNATURE's diatonic collection (pcInMask(diatonicMaskFromFifths(fifths), pc); no tonic, no mode scale)",diatonicRootBonus=0.30 [hand-set],basisIndep,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),diatonicRootBonus,,yes,"P(chord-root | key collection) coupling; nearest joint-model home: the key-conditioned chord emission (the OI-168-fixed signature-mask FORM, arch doc §3)"
complexityFactor,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1476-1483,src/composing/analysis/function/harmonicfunctionlayer.cpp:427,multiplicative discount when evidenceRatio(distinctPcs/templateTones) < floor: factor = floor + ratio; else 1.0,kComplexityEvidenceFloor=0.5 [hand-set],score multiply (cf),F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,kComplexityEvidenceFloor,yes,Iter-74 FixA; one constant serves as threshold AND additive floor
