process_order,row_id,kind,scope,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason
1,literal|src/composing/analysis/chord/chordanalyzer.cpp|143|203,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,143,0.5 in <file-scope>,no,UNFIT,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),registered-not-in-manifest,"kComplexityEvidenceFloor=0.5: hand-set [empirical] (Iter-74), registered via P::registerDouble for the Stage-5 override loader, but ABSENT from tools/param_manifest.json — a fitted/overridable constant not tracked in the fitter's parameter inventory."
2,field|src/composing/analysis/chord/chordanalyzer.h|621|1274,field,oracle,src/composing/analysis/chord/chordanalyzer.h,621,BuildChordResultContext::bassTpc,,SURVIVES,its default initializer,BuildChordResultContext::bassTpc,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field BuildChordResultContext::bassTpc: a published struct member with a documented default; consumed downstream; SURVIVES.
3,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|793|844,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,793,5 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),duplicated-scale-table,csfTonicizationScales Mixolydian: correct value; duplicated 7-mode table.
4,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|251|1841,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,251,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in csfQualitySuffix: if (hasNinthFlat)   { suffix += ""b9""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
5,branch|src/composing/analysis/chord/chordanalyzer.cpp|830|1568,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,830,if in qualifiesForCompleteTriadInversionBonus,,SURVIVES,its guarded predicate,control flow only,qualifiesForCompleteTriadInversionBonus,null/empty/range handled by the enclosing guard,,Branch (if) in qualifiesForCompleteTriadInversionBonus: if (distinctPcs != 3 || rootPc == bassPc) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
6,literal|src/composing/analysis/chord/chordslicedecoder.cpp|130|634,literal,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,130,9 in relativePair,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing relativePair,n/a (compile-time constant),,"Constant 9 in relativePair: const bool thirdApart = (d == 3 || d == 9); — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
7,field|src/composing/analysis/chord/chordslicedecoder.h|283|1299,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,283,ChordSliceDecoderPreferences::enableSpellingPin,,SURVIVES,its default initializer,ChordSliceDecoderPreferences::enableSpellingPin,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordSliceDecoderPreferences::enableSpellingPin: a published struct member with a documented default; consumed downstream; SURVIVES.
8,literal|src/composing/analysis/types/analysistypes.h|196|957,literal,satellites,src/composing/analysis/types/analysistypes.h,196,0.20 in <file-scope>,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 0.20 in <file-scope>: double tpcConsistencyBonusPerTone = 0.20; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
9,literal|src/composing/analysis/chord/chordanalyzer.cpp|725|332,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,725,12 in structuralPenalties,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing structuralPenalties,n/a (compile-time constant),,"Constant 12 in structuralPenalties: const int minorSeventhPc = (rootPc + tpl.intervals[3]) % 12; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
10,field|src/composing/analysis/chord/chordanalyzer.h|265|1207,field,oracle,src/composing/analysis/chord/chordanalyzer.h,265,ChordIdentity::bassTpc,,SURVIVES,its default initializer,ChordIdentity::bassTpc,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordIdentity::bassTpc: a published struct member with a documented default; consumed downstream; SURVIVES.
