process_order,row_id,kind,scope,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason
1,branch|src/composing/analysis/chord/chordslicedecoder.cpp|68|1664,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,68,if in candidateBetter,,SURVIVES,its guarded predicate,control flow only,candidateBetter,null/empty/range handled by the enclosing guard,,Branch (if) in candidateBetter: if (a.rootPc != b.rootPc) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
2,branch|src/composing/analysis/chord/chordanalyzer.cpp|780|1564,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,780,if in bassRootBonusMultiplier,,SURVIVES,its guarded predicate,control flow only,bassRootBonusMultiplier,null/empty/range handled by the enclosing guard,,Branch (if) in bassRootBonusMultiplier: if (hasMatchingTemplateThird) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
3,function|src/composing/analysis/chord/chordsymbolformatter.cpp|820|113,function,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,820,csfIsDegreeMajorThird(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function csfIsDegreeMajorThird(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
4,literal|src/composing/analysis/chord/chordanalyzer.cpp|787|346,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,787,1.0 in bassRootBonusMultiplier,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing bassRootBonusMultiplier,n/a (compile-time constant),,"Constant 1.0 in bassRootBonusMultiplier: return isBareSuspensionTriad ? prefs.bassRootThirdOnlyMultiplier : 1.0; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
5,function|src/composing/analysis/region/sparsechordrefinement.cpp|68|128,function,satellites,src/composing/analysis/region/sparsechordrefinement.cpp,68,tonesFitTriadShape(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function tonesFitTriadShape(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
6,literal|src/composing/analysis/chord/chordanalyzer.cpp|1428|495,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1428,8 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 8 in analyzeChord: const double fifthW = pcWeight[static_cast<size_t>((rootPc + 8) % 12)]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
7,literal|src/composing/analysis/chord/chordslicedecoder.cpp|899|667,literal,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,899,2.0 in computeConfidence,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing computeConfidence,n/a (compile-time constant),,"Constant 2.0 in computeConfidence: const double ref = 2.0 * std::max(1e-9, dp.uncertaintyMargin); — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
8,literal|src/composing/analysis/chord/chordanalyzer.cpp|717|328,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,717,6 in structuralPenalties,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing structuralPenalties,n/a (compile-time constant),,"Constant 6 in structuralPenalties: const int tritonePc  = (rootPc + 6) % 12; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
9,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|461|750,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,461,2 in csfChromaticRoman,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfChromaticRoman,n/a (compile-time constant),duplicated-scale-table,"SCALES[] Lydian {0,2,4,6,7,9,11}: correct music-theory value, but the 7-mode diatonic scale table is hardcoded here AND at csfTonicizationScales (:788) AND is the canonical keyModeScaleIntervals() — no single source (principle 6)."
10,function|src/composing/analysis/chord/chordslicedecoder.cpp|341|74,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,341,classifyTone(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function classifyTone(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
11,literal|src/composing/analysis/chord/chordanalyzer.cpp|554|283,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,554,0.0 in dim7CharacteristicBonus,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing dim7CharacteristicBonus,n/a (compile-time constant),,"Constant 0.0 in dim7CharacteristicBonus: return 0.0; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
12,literal|src/composing/analysis/chord/chordanalyzer.cpp|951|371,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,951,2 in buildChordResult,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing buildChordResult,n/a (compile-time constant),,"Constant 2 in buildChordResult: const int a = pcs[i], b = pcs[(i + 1) % 3], c = pcs[(i + 2) % 3]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
13,function|src/composing/analysis/chord/chordslicedecoder.cpp|186|69,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,186,adaptiveWindow(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function adaptiveWindow(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
