process_order,row_id,kind,file,line,label,verdict,flag,reason
1,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|245|464,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,245,if in weightedPcView,SURVIVES,clean,weightedPcView forward-onset: `if (ne->pitch < a.lowestPitch)` tracks the pc's lowest pitch+tpc for bass selection — correct.
2,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|74|402,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,74,if in collectVoiceLines,SURVIVES,clean,"collectVoiceLines `if (!isEligible(n))` — reads L1 plays&&visible&&staffEligible flags, does not re-decide eligibility. Layer-2/1.5 correct."
3,field|src/composing/analysis/engravingbridge/phraseboundaryview.h|107|369,field,src/composing/analysis/engravingbridge/phraseboundaryview.h,107,PhraseBoundaryParams::minSilenceTicks,PUBLISHED,clean,"PhraseBoundaryParams::minSilenceTicks=240 — precision-phase config field consumed by collectMarkerTicks all-rest-span guard; dormant primitive, dormancy declared."
4,branch|src/composing/analysis/scoreharvest/metricweights.cpp|78|577,branch,src/composing/analysis/scoreharvest/metricweights.cpp,78,case in regionMetricWeightForBeatType,SURVIVES,clean,regionMetricWeightForBeatType `case SIMPLE_STRESSED:` falls through to 0.85 — correct beat-weight mapping.
5,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|409|519,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,409,if in detectBassMovementSubBoundaries,SURVIVES,clean,detectBassMovementSubBoundaries `if (cr->tick()!=segTick)` skips notes not onsetting at the segment tick — correct onset-only scan.
6,crosslayer|src/composing/analysis/slicing/slicer.cpp|23|686,crosslayer,src/composing/analysis/slicing/slicer.cpp,23,include slicer.h -> external,SURVIVES,clean,"slicer.cpp self-include of slicer.h — external/self, layer-adherent."
7,function|src/composing/analysis/engravingbridge/regiontonecollector.h|73|227,function,src/composing/analysis/engravingbridge/regiontonecollector.h,73,isChordTrackStaff(),SURVIVES,clean,isChordTrackStaff() — inline predicate re-implemented in the bridge to avoid a notation-layer include (documented); consumed by staffIsEligible. Correct.
8,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|184|453,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,184,if in weightedPcView,SURVIVES,clean,weightedPcView dense-start `if (!passes(*ne) || ne->onset>=startTickInt)` — filters to sustained-in eligible notes. Correct.
9,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|78|403,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,78,if in collectVoiceLines,SURVIVES,clean,collectVoiceLines `if (!ev.empty() && ev.back().onset==n.onset)` — collapses same-onset chord notes into one monophonic line event. Correct.
10,branch|src/composing/analysis/notemodel/note_model.cpp|295|562,branch,src/composing/analysis/notemodel/note_model.cpp,295,if in collect,SURVIVES,clean,NoteQueryIndex::collect `if (nodeHi-nodeLo==1)` — segment-tree leaf detection; qualifies unconditionally per the two prior guards. Correct.
11,literal|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|398|287,literal,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,398,0.0 in computePhraseBoundaryProfile,ESTABLISHED,clean,0.0 in `if (params.coincidenceWeight > 0.0)` — guard to apply coincidence weighting only when enabled. Correct.
12,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|229|461,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,229,ternary in weightedPcView,SURVIVES,clean,weightedPcView ternary `fs ? metricWeight : bwAtRegionStart` — fallback beat weight when no ChordRest segment. Correct.
13,field|src/composing/analysis/engravingbridge/spellingview.h|103|385,field,src/composing/analysis/engravingbridge/spellingview.h,103,SpanSpelling::flatCount,PUBLISHED,clean,"SpanSpelling::flatCount — published field of the spanSpelling aggregate; consumer dormant (Phase B key-spelling term), dormancy declared."
14,function|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|461|224,function,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,461,phraseBoundaryTicks(),SURVIVES,clean,phraseBoundaryTicks() — consumer-facing owned API = computePhraseBoundaryProfile(score).pickedTicks; consumers dormant/gated-off (declared).
15,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|586|536,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,586,if in findTemporalContext,SURVIVES,clean,findTemporalContext `if (currentBassPc!=-1 && nextBassPc!=-1)` — computes bassIsStepwiseToNext only when both known. Correct.
16,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|212|457,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,212,if in weightedPcView,SURVIVES,clean,"weightedPcView main-loop `if (!passes(*ne))` — the view keep/drop filter (staffEligible,plays,visible,!grace,!excluded). Correct."
17,branch|src/composing/analysis/engravingbridge/regiontonecollector.h|76|484,branch,src/composing/analysis/engravingbridge/regiontonecollector.h,76,if in isChordTrackStaff,SURVIVES,clean,isChordTrackStaff `if (si >= sc->nstaves())` — out-of-range staff guard. Correct.
18,literal|src/composing/analysis/scoreharvest/metricweights.h|60|357,literal,src/composing/analysis/scoreharvest/metricweights.h,60,0.7 in <file-scope>,ESTABLISHED,clean,"0.7 DECAY_RATE — documented per-measure decay multiplier; the design constant, single-owned here."
19,crosslayer|src/composing/analysis/engravingbridge/regiontonecollector.cpp|23|635,crosslayer,src/composing/analysis/engravingbridge/regiontonecollector.cpp,23,include regiontonecollector.h -> external,SURVIVES,clean,"regiontonecollector.cpp self-include of regiontonecollector.h — external/self, layer-adherent."
20,function|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|452|237,function,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,452,findTemporalContext(),SURVIVES,clean,"findTemporalContext() — bridge temporal-context builder; legitimately CALLS L4 chord analyzer (analyzeChord/applyPostScoringGates) to cold-analyze neighbours. Intrinsic bridge->L4 dependency (relevant to owning-layer review), not a defect in isolation."
21,literal|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|264|279,literal,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,264,0.0 in pickPeaks,ESTABLISHED,clean,"0.0 in `double sum=0.0, sumSq=0.0` — pickPeaks accumulator init. Correct."
22,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|220|459,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,220,if in weightedPcView,SURVIVES,clean,weightedPcView `if (excludeLookAhead && ne->onset>startTickInt)` — dense-start look-ahead exclusion. Correct (reproduces legacy).
23,branch|src/composing/analysis/engravingbridge/spellingview.cpp|72|542,branch,src/composing/analysis/engravingbridge/spellingview.cpp,72,if in spanSpelling,SURVIVES,clean,spanSpelling `if (agg.count > 0)` — guards the centroid division against count==0. Correct.
24,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|382|516,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,382,if in detectBassMovementSubBoundaries,SURVIVES,clean,detectBassMovementSubBoundaries `if (!firstSeg)` — null first-segment guard. Correct.
25,field|src/composing/analysis/engravingbridge/regiontonecollector.h|249|379,field,src/composing/analysis/engravingbridge/regiontonecollector.h,249,SpanWindowWeights::decayRate,PUBLISHED,clean,"SpanWindowWeights::decayRate=0.7 — settings-struct default the L3 decoder caller overrides; documented value-mirror of scoreharvest DECAY_RATE (in-line comment, not silent). Note: literal mirror, drift-risk if DECAY_RATE moves, but declared."
