id,category,file,line,unit_kind,tier,matched_signatures,date,ratified_by,evidence_pointer,dedup_group_size,status,conformance,decision_text
DH-00001,governing,ARCHITECTURE.md,3,blockquote,high,ratified;user-ratified;retired;decided/decision,2026-07-17,user,OI-178;cowork_joint_estimator_architecture.md;cowork_key_chord_joint_inference_grounding.md,1,,,"> **★★ GOVERNING DECISION (user-ratified 2026-07-17): the key/mode/chord estimator is JOINT — see
> `cowork_joint_estimator_architecture.md`.** Key, mode, and chord are inferred by ONE probabilistic decode
> over `(tonic, mode, chord)` with segmentation as a modeled (semi-Markov) variable and every enumerated clue
> as a theory-grounded factor — NOT the feed-forward, per-layer pipeline the layer sections below still
> describe. Those layer sections (L1–L6) remain the accurate description of the CURRENT code and its
> retirements, but the TARGET architecture is the joint estimator; the layer specs are updated to it as the
> design pass proceeds. Theory basis: `cowork_key_chord_joint_inference_grounding.md`."
DH-00002,governing,ARCHITECTURE.md,11,blockquote,high,ratified;user-ratified;excluded;retired;no longer;sanctioned;STOP (#13);decided/decision;held/parked;never,2026-07-26,user,OI-178;OI-180;OI-193;OI-173;OI-194;OI-168;OI-197;OI-204,1,,,"> **★★ AS-BUILT (the OI-178 adoption, user-ratified 2026-07-26, option 1 — STAGED SCOPE): the joint estimator
> is now the PRODUCTION inference layer on the batch/corpus surface.** As-built module `src/composing/analysis/joint/`:
> the **L1 fact adapter** (`jointfactadapter` — score → `Piece` from the published `notemodel::notatedNotes()`
> tie-unresolved surface + the score's structural facts, per the OI-180 sanction: no module-private raw-note walk);
> the **event lattice + exact block-factorized semi-Markov Viterbi decoder** (`jointdecoder`) with the ratified
> **§5 total-order tie-break**; the **factor log-probability provider** (`jointadapter` — the ten-factor
> log-linear score, Katz leftover option 2a); the frozen generative **tables** (`jointtables` — the committed
> all-326 `tables_all.json` / `note_tables_all.json` / `factor_presence_all.json` / `fermata_boundary_addendum.json`);
> and the **weight vector** (`jointweights` — the direct-metric SELECTED vector, identity `random07`).
> **Table/weight delivery — EMBEDDED (ratified Decision D1):** a provenance-stamped code-generation step
> (`tools/joint_estimator/gen_embedded_tables.py`) compiles the five committed artifacts + the selected weight vector
> VERBATIM (JSON bytes, not a parsed-structure codegen) into the generated `jointembeddedartifacts.{h,cpp}`, so the
> running binary's fitted values are **provenance-locked at BUILD time** (#16/#19) and cannot silently drift.
> `JointTables::loadEmbedded` / `FittedAdapter::loadEmbedded` / `selectedWeights()` are the PRODUCTION source; they
> parse the embedded bytes through the SAME parser as the filesystem loaders (#6, one parse path). The filesystem
> `JointTables::load` / `FittedAdapter::load` stay for the tests/diagnostics that establish the embedded data.
> Regenerating the embedded source is the **new mechanical step of any table re-fit**; the `joint_embedded_tests`
> drift guard (embedded bytes byte-identical to the committed files; the weight vector value-exact to
> `decode_parity_ref.json`) is the standing guard against divergence. The generated file publishes the §2
> output-surface-contract provenance constants (artifact sha256s, the weight-vector identity, a decoder-version
> string) as declared dormancy — consumer: the notation record build. State = `24 keys × a ground-truth-derived Roman-numeral
> vocabulary`, chord = scale-degree-valued (the chord symbol is the derived published fact from (key, degree)),
> segmentation is a modeled semi-Markov variable, seg_cap 4. Inference is **preset-independent** (presets are
> presentation concerns). **Wiring:** `tools/batch_analyze.cpp --joint-inference <dir>` (default-OFF) produces
> each `.ours.json` from the decode at the EMBEDDED tables/weights (the `<dir>` is no longer read for fitted
> values) instead of the legacy `analyzeScore` pipeline; `tools/run_bach_preset.py
> --joint-inference` regenerates the corpus; the committed regression reference `tools/robust_stop/` is graded on
> it (root 77.03 / RN 64.12 / key-home 56.14 / key-local 78.42 %, class-(b) hard-stop 1,817,280 ticks per preset).
> **STAGED SCOPE (declared migration state, #23):** the in-app **NOTATION layer stays on the legacy L1–L6 pipeline**
> (`region::analyzeRegions` → `analyzeSection`); its migration is the OI-180 retirement map, whose first increment
> carries the notation output-surface contract (from A's posterior — alternatives, exposure/confidence, cadences,
> key areas) and the fitted-table packaging to the in-app runtime (the two gaps the adoption STOP surfaced). Full
> spec: `cowork_joint_estimator_architecture.md`, `cowork_joint_estimator_factorization.md`; pre-fit gates
> `cowork_prefit_gates.md`; adoption record `cc_adoption_measurement_report.md` / `tools/joint_estimator/adoption_record.json`.
>
> **POSTERIOR SLICE — the notation output-surface contract §3.3 GROUP (i) (as-built, ADDITIVE; the decode is
> unchanged).** `jointdecoder::computePosteriorSlice(piece, segments, adapter, vocab, cache)` publishes, per
> committed segment, the ESTABLISHED content-score uncertainty surface as two full candidate lists (no truncation
> constant): a **KEY axis** — the committed chord class re-scored under every scoreable candidate key (all 24,
> KEYS_24 order: tonic 0..11, major before minor) — and a **CHORD axis** — every scoreable vocabulary class
> re-scored under the committed key (sorted class-key order); each entry is (label, weighted within-segment content
> score) with the committed reading flagged by index. It is computed POST-decode by re-scoring the held span with
> `segmentContentScore`, so it inherits the established Neumaier bit-parity; ""scoreable"" = root defined AND finite
> content score (probe_decoder._segment_posterior's filter). The scores are LOG-scores, NOT probabilities, and gaps
> are score differences; **GROUP (ii) forward-backward marginals are NOT delivered here — OI-193's later step.** The
> batch `.ours.json` render is UNCHANGED (the a8 grading schema keeps `""alternatives"": []`, the pinned grading form);
> the slice's consumer is the later notation record build. **Reference oracle + parity:** the Python
> `tools/joint_estimator/gen_posterior_slice.py` writes `posterior_slice_ref.json` — the SELECTED-arm slice, full
> precision, in shared-label form (the scoreable sets are span-INDEPENDENT on this corpus: exactly one 24-key list
> and one 104-class list across all 13,063 committed segments, so the labels are published once at top level and each
> segment stores only its scores + committed index; lossless, not truncation). It is established two-halved:
> (a) the identity-arm key-axis runner-up/gap reproduces the committed `probe_corpus_decode.json` EXACTLY on the 325
> §5-unaffected pieces (bwv362 the sole §5 equal-score exception, enumerated), (b) the selected-arm committed
> segments equal `decode_parity_ref.json` on all 326. The default-OFF `batch_analyze --joint-posterior-slice <dir>`
> driver verifies the C++ slice BIT-IDENTICALLY against it (every piece × segment × candidate × both axes; a
> near-miss is a defect, not a tolerance).
>
> **NOTATION OUTPUT-SURFACE RECORD — the A-native record (as-built, DORMANT; contract `cowork_notation_output_contract.md`
> §3.1–§3.4).** `joint::assembleNotationRecord(piece, result, sigFifths, declaredMode, adapter, vocab, cache)`
> (`jointnotationrecord`) assembles the ONE surface the in-app notation path will read (Decision A2), from the
> decode outputs + the decode's prior inputs + the compiled-in provenance — it NEVER re-decodes and never reads the
> score. **§3.1** the piece block: analyzed span, the signature-fifths/declared-mode INPUT ECHO (the adapter exposes
> only the initial signature — no mid-piece re-anchor points, so that list is empty), and the §2 provenance block
> read from the D1 embedded constants (`kTableArtifacts` hashes, `kWeightVectorIdentity`, `kDecoderVersion`,
> `kCorpusGitHash` — **their declared dormancy is discharged**: the record is their consumer). **§3.2** per committed
> segment: the native fields verbatim + the derived chord facts computed ONCE (the render primitives are
> single-sourced in `jointrender` — `jointOursQuality`/`jointChordSymbol`/`jointRenderRn`, shared with the batch
> render for §5.6 formatter continuity, #6): `keySignatureFifths`, root/bass tonal **spellings** (line-of-fifths;
> `jointprimitives::rootSpellingLof`/`factorSpellingLof`), member pcs with factor roles, the class-native
> `diatonicToKey` (a structural read, not a collection recompute — OI-173's lesson), the per-event bass factor role,
> and the augmented-sixth Italian/German/French sub-type derived from the SOUNDING content (the vocabulary collapsed
> the family to Italian). **§3.3** the established posterior slice attached. **§3.4** the un-rounded modal reading
> (`computeModalReading`) per key run: for each scale degree 1..7, the sounding duration + onset count of every
> chromatic inflection (degree from the notated spelling, inflection by pc offset) — counted, un-rounded, no label
> (C1). **§3.5** ornament fields RESERVED-absent (OI-194's own increment); **§3.6** excluded fields simply absent.
> **Establishment:** the key-signature-fifths mapping duplicates the legacy `keymodeanalyzer::keySignatureFifthsForKey`
> module-locally (L1-only isolation, #7/OI-180 — unifies at the legacy retirement); the spelling derivation is
> established by `tools/joint_estimator/gen_spelling_establishment.py` → `spelling_establishment.json` (root
> 13061/13063 = 99.985 % agreement with the notated tpc where the root sounds, 0 unmappable/pc-mismatch; the four
> divergences are enharmonic re-spellings, the OI-168 convention class); **the C++ spelling mapping
> (`jointprimitives::rootSpellingLof`/`factorSpellingLof` — the one the switch publishes) is established lof-EXACT
> against that Python derivation on all 13,063 committed segments — 0 divergences, root 13,063 + bass 11,182 cells
> reconciling to the establishment (OI-197 RESOLVED; the default-OFF `batch_analyze --joint-spelling-parity` dump +
> `gen_spelling_establishment.py --cpp-parity` → the generated `cpp_parity` block, with a negative-control check
> that a perturbed lof STOPs)**; the modal counter by the bwv254 hand-check
> (D-minor degree-6 all ♭6, degree-7 ♭7+leading-tone). Consumers: the RECORD PRODUCER + the two seam VIEWS (next
> paragraph) read this record — DORMANT (no src/ consumer yet). Suites: unit coverage in
> `joint_record_tests` / `joint_spelling_tests` / `joint_modal_tests`.
>
> **THE RECORD PATH — the notation output-surface contract as-built (the PRODUCTION notation path since THE SWITCH,
> user-ratified 2026-07-27; `useJointNotationRecord` defaults ON).** This is the consolidated, forward end-to-end record
> of the joint estimator's A-native notation record and the re-plumbed notation consumers that read it (delivered by the
> seams partition P0-P7; per-unit provenance in STATUS.md / `cowork_handoff.md`). At the switch the migration posture
> **CLOSED**: the record path is now THE in-app notation analysis; the legacy `analyzeHarmonicRhythm`/`analyzeChord`
> path remains COMPILED and DORMANT, selected only by an explicit `useJointNotationRecord = false`, awaiting deletion at
> the **OI-180 retirement map (now fully live)**. Through the whole P0-P7 build the flag stayed OFF and the legacy path
> ran byte-identically (proven per delivery unit); the switch flipped the default and refreshed the pipeline-snapshot
> goldens against the record arm, every diff reconciled to the P6 classified evidence (see **(6) the switch**, below).
>
> **(1) The producer + the two seam views (contract §1 seams, PRODUCER side; `jointnotationproducer`).**
> `joint::produceNotationRecord(score, stem)` is the ONE-call score->record
> entry: `buildAdapterFacts` (the L1 published-fact surface — the only score read, no raw-DOM walk) -> the compiled-in
> EMBEDDED tables/adapter + the SELECTED weight vector (Decision D1) -> `decodePiece` (§5 total order, seg_cap 4) ->
> `assembleNotationRecord` (which attaches the §3.3 slice). WHOLE-score decode ONCE; deterministic; NO caching (a
> later, measured concern — #17's funnel, not built speculatively). It returns a `NotationRecordResult` — either the
> full record or an UNAMBIGUOUS failure (`ok=false`, `error` set, empty record) when the fact adapter cannot extract
> the score (`AdapterFacts.ok == false`, e.g. a null score): never a partial record, never a silent fallback (#13).
> **Input-scoping (OI-204):** `produceNotationRecord(score, stem, excludeStaves = {})` forwards `excludeStaves` to
> `buildAdapterFacts`, which skips any notated note whose owning staff is in the set — INPUT selection at the fact
> adapter (the layer that owns its input surface, #7), before the note enters the L1 fact view the decode reads; NOT a
> consumer-side post-filter, NOT an inference change (the empty default skips nothing → byte-identical extraction). Each
> record-arm seam threads the SAME chord-track exclude set its legacy arm passes (arm-for-arm input parity), so a
> populated chord track's own notes are never fed back into a re-analysis (the self-feedback hazard). A
> `produceNotationRecord(piece, sigFifths, declaredMode)` core (the same minus `buildAdapterFacts`) is the
> establishment seam. The two §1 seams READ this record as pure VIEWS (#6, no recompute): **the span view**
> `spanViewSegments(rec, startTick, endTick)` returns the segment indices OVERLAPPING [startTick, endTick)
> (`seg.startTick < endTick && seg.endTick > startTick`; an empty/inverted span selects nothing); **the note view**
> `noteView(rec, tick)` returns the segment CONTAINING `tick` (`seg.startTick <= tick < seg.endTick` — a boundary
> tick belongs to the segment it STARTS), resolving the committed reading + derived facts (`segment`) + the §3.3
> slice (`slice`), or `found=false` outside the analyzed span (the §3.1 piece block is the record's own fields).
> Consumers: the record-arm branches of the re-plumbed notation seams — subsections (2)-(5) below (behind the
> default-OFF flag; DORMANT on production until the switch). It composes only already-established parts; no inference,
> no new derivation.
> Coverage: `joint_producer_tests` (the producer core vs the parts-assembled record + a `decode_parity_ref` spot-check
> on bwv324/bwv362; the score wrapper == `buildAdapterFacts` + core on `pb_chorale.mscx`; the null-score failure
> path; the span-view overlap incl. span-splitting; the note-view boundary rule; the empty-span / out-of-span edge
> duties).
> The layer sections (L1–L6) below remain the accurate description of the LEGACY pipeline — still live on the
> notation path, dormant-compiled on the batch path."
DH-00003,governing,ARCHITECTURE.md,141,blockquote,broad,decided/decision,,,chordanalyzer.h;analysisutils.h;chordsymbolformatter.cpp,1,,,"> **(2) The section adapter + the span-annotation consumer + the inference↔presentation boundary.**
> The section layer's record path `analyzeSectionFromRecord` (`sectionrecordadapter`) derives the shared
> `AnalyzedSection` from the record (1:1 segment→region) via the ONE record-segment→`ChordAnalysisResult` converter
> `chordResultFromRecordSegment` (#6; the section layer and the presentation layer both read its result). The
> span-path emitter's record arm (`emitHarmonicAnnotations`, `notationcomposingbridge`) writes, per region: the
> **Roman numeral** as the record's PUBLISHED derived fact (`rs->romanNumeral`, the jointRender form); and the
> **display chord symbol** + **Nashville number** as PRESENTATION DERIVATIONS (Decision D2 + the contract §3.3
> amendment — display renderings are presentation, facts are published) rendered by the REUSED `ChordSymbolFormatter`
> (`formatSymbol` / `formatNashvilleNumber`, via the shared `formatChordResultForStatusBar`) from the record's
> committed reading — NOT the record's grading-form `chordSymbol` (""GDom7""), which stays on the record for batch/a8
> continuity. The carriage is COMPLETE: the converter carries the FINE class quality's seventh-ness into
> `ChordIdentity.extensions` (the coarse `ChordQuality` drops it), so the formatter renders ""G7""/""Am7""/""Bdim7""; a
> rootless chromatic class renders no symbol (matching the batch rootless """" from `jointChordSymbol`). **THE BOUNDARY
> IS PERMANENTLY GUARDED both ways** by a mechanical include-closure test (`inference_presentation_boundary_tests`):
> the joint estimator's inference module (every file under `analysis/joint/`) includes NO presentation formatter
> (`chordanalyzer.h` / `chordsymbolformatter`; the shared pitch leaf `analysisutils.h` is exempt), and the
> presentation formatter (`chordsymbolformatter.cpp`) includes NO joint inference internal — it consumes only the
> published record/adapter output surface (a `ChordAnalysisResult`). The guard carries a negative control (it fires
> on a perturbed include, both directions). No inference change on this path; the display renderings are the only
> additions, and they are presentation."
DH-00004,governing,ARCHITECTURE.md,162,blockquote,broad,never,,,OI-182;sectionanalyzer.cpp;sectionrecordadapter.cpp;tools/notation_seams/exposure_constants.json;notationimplodebridge.cpp;notationtuningbridge.cpp,1,,,"> **(3) The implode + tuning span-seam consumers + the exposure-bucket unification.**
> The last two span-seam consumers are re-plumbed
> onto the record path. **The key-exposure BUCKET is unified (the P2a pattern completed):** the tentative/assertive
> bucket the implode formerly re-thresholded at 0.5/0.8 is now a STORED per-arm result on `AnalyzedRegion`
> (`keyExposureBucket`, 0=below-tentative / 1=tentative / 2=assertive), set ONCE at the section-layer set site beside
> `hasAssertiveExposure` — legacy arm from `normalizedConfidence >= 0.5/0.8` (`sectionanalyzer.cpp::legacyKeyExposureBucket`,
> legacy-arm-only), record arm from the raw §3.3 key-axis gap (nats) at `kTentativeKeyExposureGap=0.975911` /
> `kAssertiveKeyExposureGap=1.055757` (`sectionrecordadapter.cpp`, the P1 constants from
> `tools/notation_seams/exposure_constants.json`; the record's confidence field carries nats, never compared to the
> [0,1] literals). The implode reads the stored bucket (#6 — one thresholding site per gate). **The implode chord-track
> record path** (`notationimplodebridge.cpp`, `populateChordTrack` behind the flag → `produceNotationRecord` →
> `analyzeSectionFromRecord` → the SAME `emitImplodedChordTrack` with the record) writes, per region: the **Roman
> numeral** as the record's PUBLISHED `romanNumeral` (a fact, looked up by `noteView` at the region's start tick, NOT
> re-formatted from `ChordIdentity`); the **display chord symbol** + **Nashville** as PRESENTATION derivations
> (`ChordSymbolFormatter::formatSymbol`/`formatNashvilleNumber`; a rootless class writes no symbol); exposure gates read
> the stored bucket; the borrowed-key source-key search is restricted to the C1 two modes (the exotic-mode enumeration
> + the 0.35 mode-suffix gate are legacy-arm-only, inert on the record arm by two-mode construction);
> `kSameChordReannotationGap` (960) is a declared presentation-timing constant. **The tuning region record path**
> (`notationtuningbridge.cpp`, `applyRegionTuning` behind the flag) derives the tuning regions from the record and maps
> each to the `(span, chordResult, keyModeResult)` the tuning loop reads — the inputs are FACTS the record carries
> (`rootPc`, `quality`, and `keyModeResult.tonicPc`, the only `KeyModeAnalysisResult` field any `TuningSystem` reads —
> `JustIntonation::rootOffset`); no consumed fact the record lacks. A produce failure writes/tunes NOTHING on either
> path (the record IS the surface, A2/#13 — no legacy fallback). Flag OFF → both paths byte-identical. **OI-182 EXECUTED
> at the record surface** (the §4.1 presentation-gate disposition — every exposure/annotation constant's declared site)."
DH-00005,governing,ARCHITECTURE.md,211,blockquote,high,ratified;user-ratified;ruled/ruling;retired;STOP (#13);never,2026-07-27,user,OI-194;OI-201;OI-204;OI-178;OI-180;OI-193;OI-203;tools/notation_seams/dualarm_capture.json,1,,,"> **(5) The dual-arm classified-comparison instrument (measurement-only, opt-in; the switch evidence).**
> The §8.4 switch-ratification evidence: what the switch actually changes on the notation output surface,
> and why. A CAPTURE (`pipeline_snapshot_tests` `DISABLED_DualArmClassifiedCapture`, opt-in — the golden sweep and
> byte-identity untouched) runs the FULL notation output surface TWICE per snapshot-corpus score over the 16-measure
> window — arm ""legacy"" (`useJointNotationRecord` OFF) and arm ""record"" (ON) — and serializes both:
> `annotation` (the span-seam write: display symbols / Roman / key brackets / Nashville / pedal + cadence StaffText),
> `implode` (the chord-track write: treble symbols, bass Roman/Nashville, imploded voicing pitches, key/cadence text),
> `tuning` (per-note offsets under a fixed Just-Intonation tonic-anchored config — a downstream read of the committed
> root+key), and `noteSeam` (the committed reading + rendered symbol/roman/nashville + §3.3 alternatives at EVERY
> measure downbeat). It calls only public production entry points; the flag is restored OFF by RAII per surface; each
> surface array is sorted by a stable key so the artifact `tools/notation_seams/dualarm_capture.json` is deterministic
> run-to-run. A CLASSIFIER (`tools/notation_seams/classify_dualarm.py`, #17f) aligns the two arms per surface and
> classifies EVERY non-identical item into: **inference-driven** (the record's committed reading differs — the
> adoption's expected differences, both readings cited); **presentation-rule** (a ratified rule accounts for it, cited:
> C1 two-mode display / the §4.1 exposure gates / OI-194 pedal suspension / §3.3 alternatives ordering / D2
> grading-vs-display / OI-201 aug-sixth coarseness / the applied-chord Nashville ""?"" convention); **input-scoping** (the
> OI-204 class — structurally ZERO on this chord-track-free corpus); and **UNEXPLAINED** (the headline — every entry
> investigated to a mechanism before delivery, else a STOP). It emits `dualarm_classified_report.json` +
> `dualarm_classified_summary.txt`. The instrument invents no value and bends nothing toward either arm — a difference
> is CLASSIFIED, never patched.
>
> **(6) THE SWITCH — the migration posture is CLOSED (user-ratified 2026-07-27).** The seams partition (P0-P7) was
> closed out and completeness-verified (`tools/notation_seams/partition_completeness.json` — every consumer's record
> branch cited, every ruling checked, every seams-era register row in state, the flag OFF everywhere, the three suites
> green; NO finding), and the switch — ONE revertible, user-ratified commit (dispatch `cc_instruction_notation_switch.md`)
> — flipped `useJointNotationRecord`'s default to **ON**. The batch/corpus output is A's (the OI-178 adoption); the in-app
> notation analysis is now **A's record path** too. The switch refreshed the pipeline-snapshot goldens against the
> established record arm (cited preconditions: the P6 classified report `dualarm_classified_report.json` + the OI-178
> adoption record), and every legacy→record golden diff was reconciled to the P6 taxonomy by
> `tools/notation_seams/reconcile_switch_goldens.py` → `switch_golden_reconciliation.json`: **0 unexplained, 0
> input-scoping, the non-flag-gated surfaces (implode / keyAreas / tickLocal) byte-identical** — the diff is
> inference-driven (the record's committed-reading / segmentation / voicing moves), §3.3 alternatives-ordering
> presentation, and a production-INERT auxiliary class (the note-seam carriage's `temporalExtensions`/`wasRegional`,
> which no consumer reads). The batch/corpus surface and `tools/robust_stop/` did not move (the flag is notation-side;
> `test_batch_analyze_regressions` passes). The legacy `ChordAnalysisResult`/`NoteHarmonicContext`/`HarmonicRegion` path
> and the per-arm legacy branches now RETIRE on the **OI-180 retirement map** (post-switch, fully live); the post-switch
> agenda includes OI-193 (the marginal-posterior completion), OI-194 (the ornament-label / voice-independent pedal-class
> publication), OI-203 (the record-cache increment — the latency is now on the default path), and OI-201 (the aug-sixth
> display-symbol completeness gap)."
DH-00006,governing,ARCHITECTURE.md,251,blockquote,broad,decided/decision,2026-06-29,,STATUS.md;ARCHITECTURE.md,1,,,"> **Living design document.** Read this AND STATUS.md at the start of every development
> session. ARCHITECTURE.md contains stable design decisions. STATUS.md contains current
> implementation status and immediate next steps. Update STATUS.md as your last act when
> anything changes. Update ARCHITECTURE.md only when architectural decisions change."
DH-00007,governing,ARCHITECTURE.md,256,blockquote,high,ratified;ruled/ruling;decided/decision;never,2026-06-15,,_design.md;cowork_progression_schema_dictionary.md;cowork_progression_schema_design.md;cowork_target_architecture.md;ARCHITECTURE.md,1,,,"> **Doc governance (2026-06-29) — the hierarchy.** This is **THE canonical architecture doc**. The **per-layer /
> per-component design docs** (`cowork_layer*_design.md`, `cowork_progression_schema_dictionary.md`,
> `cowork_progression_schema_design.md`, the phrase-boundary design, …) are the **authoritative detail** for their own
> scope — the rules, the mechanisms, the per-layer decisions-with-alternatives — and are **referenced** from here. They
> are **not** rival architecture docs: a **cross-cutting contract is stated once, here (§2.15), and never redefined in a
> layer doc** (a layer doc may *use* the span typology or the verifiability contract, not *redefine* it).
> `cowork_target_architecture.md` is **demoted** to the detailed-rationale reference for those contracts (the historical
> north-star, the full statements, the supporting evidence) — not a second canonical doc. **When any doc disagrees with
> this one, this one wins, and a new ratified decision lands here first.**"
DH-00008,governing,ARCHITECTURE.md,266,blockquote,high,ratified;superseded;overturned,2026-06-15,,cowork_target_architecture.md,1,,,"> **★★ ARCHITECTURE NOTE (updated 2026-06-29 — the 2026-06-15 joint-inference investigation has LANDED).**
> The ""constrained joint inference"" investigation concluded: a **full joint cross-layer decode was measured
> INERT** — the realisable gain is soft-evidence *quality* carried forward (calibrated confidence + ranked
> alternatives), not global cycling. The ratified back-half architecture is therefore **forward-only**: a
> feed-forward stack of single-responsibility layers (**L1** notes → **L2** slicing → **L3** key/mode → **L4**
> chord → **L5** function → **L6** grouping), each carrying **ranked alternatives + a confidence**, with two
> scoped escapes from pure feed-forward — a **gated, constrained joint step (Stage 5)** for the residual
> key↔chord coupling only, and the **confidence-weighted forward-override mechanism** (a confident inference
> overturned by decisive later evidence via a *localized forward recompute* — no back-edge, no global decode).
> See §2.14 (the superseding reconciliation) and §2.15 (the cross-cutting contracts); full ratified statements:
> `cowork_target_architecture.md` §2."
DH-00009,governing,ARCHITECTURE.md,352,bullet,high,do not (revert/…),,,,1,,,"- **Chord staff** (also called the **chord track** elsewhere in this doc — the same object) — a grand-staff part added by
  the user that is populated on demand (an action called **implode**: write the harmonic reduction to the chord staff)
  with a harmonic reduction: chord symbols, Roman numerals, canonical or collected
  voicings, key/mode annotations, borrowed chord labels, pivot detection, and cadence
  markers. Notes on the chord staff have `play = false` (annotation-only; they do not
  double the source staves in playback)"
DH-00010,governing,ARCHITECTURE.md,388,paragraph,broad,never,,,,1,,,"The C++ implementation contains no conditional logic based on style identity. All
behavioral differences between musical styles are expressed as parameter values in
style JSON files. Adding, renaming, or modifying a style never requires C++ code changes."
