file,tag,reason
src/composing/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/chord/analysisutils.h,L4-SCORER,LIVE cross-cutting chord helper header (normalizePc/diatonicMaskFromFifths/collectionMask/ionianTonicPcFromFifths) reused by the surviving oracle+formatter; survives. FLAG: cross-cutting (also serves L3/L5)
src/composing/analysis/chord/chordanalyzer.cpp,L4-SCORER,"MIS-TAG (inherited RETIRES) — the LIVE surviving vertical scoring ORACLE (analyzeChord @regionanalyzer.cpp:987, buildChordResult/detectExtensions, TemplateDef/templates/score matrices, factory) that the DORMANT decoder REUSES (chordslicedecoder.cpp:453); only the competition (function/) + Gates A-L retire (R1); R9 file-SPLITS this file, does not delete it (pass-1 finding)"
src/composing/analysis/chord/chordanalyzer.h,L4-SCORER,"L4 scorer CONTRACT surface (stable integration boundary): kTemplateCount/kTemplateIntervals, ChordIdentity/ChordAnalysisResult/RawCandidate, IChordAnalyzer/RuleBasedChordAnalyzer/factory; also declares PostScoringGateContext/PromotionTarget consumed by the retiring gates (split recorded in Task 2)"
src/composing/analysis/chord/chorddiagnose.cpp,DEFERRED,"DIAGNOSTIC satellite (diagnoseChord replays analyzeChord+applyIter8691Pedal+applyPostScoringGates) reached only via batch_analyze --diagnose-measures; NOT production, NOT the decoder. FLAG: coupled to R1 (rewrites/retires WITH Gates A-L) — deferred to the instruments audit (pass-1)"
src/composing/analysis/chord/chordpostpasses.cpp,L4-RETIRES,RETIRES — legacy competition late-promotion tail (applyIter8691Pedal: Iter-86 bass-b7 + Iter-91 bass-as-root promotions + two-pass pedal-point; LIVE now @regionanalyzer.cpp:999 but NOT reused by the dormant decoder). #12 interpretation-check on deletion: the pedal-point detection + bass-root late promotions are legacy-winner corrections the decoder must be confirmed to cover/reject before deletion
src/composing/analysis/chord/chordslicedecoder.cpp,L4-DECODER,DORMANT per-slice chord-symbol decoder impl (decideSlice/classifyMembership/applyCommitDecision/spellingPinnedRoot/computeConfidence/nameOpenQuestion + decode/redecodeRange/decodeSelection)
src/composing/analysis/chord/chordslicedecoder.h,L4-DECODER,DORMANT per-slice chord-symbol decoder surface (ChordSliceDecoder + preferences/DTOs) — the Layer-4 rebuild target; runs analyzeChord over each L2 slice; NOT wired (batch_analyze --decode-chords diagnostic only)
src/composing/analysis/chord/chordsymbolformatter.cpp,L4-SCORER,LIVE shared chord-symbol formatter (formatSymbol/formatRomanNumeral/formatNashvilleNumber) — production notation render (notationcomposingbridge.cpp:490..); survives the engagement. FLAG: formatRomanNumeral is L5-flavored output on an L4 TU (boundary note)
src/composing/analysis/chord/chordvoicing.cpp,DEFERRED,"MIS-IMPLIED-L4 — chord-tone/voicing utility (chordTonePitchClasses/closePositionVoicing) serving notation IMPLODE + display stabilization (arrangement concern, ARCHITECTURE §voicing), NOT chord decoding; no decode/competition caller — deferred to the arrangement/notation concern (pass-1 finding)"
src/composing/analysis/chord/postscoringgates.cpp,L4-RETIRES,"RETIRES — literally roadmap R1 (Gates A-L / applyPostScoringGates; LIVE now @regionanalyzer.cpp:1000). #12 interpretation-check on deletion: Gate J (viio->V7), Gate L (Major-over-aug), Gate I (first-inv-Major-over-Minor), the enharmonic Maj-add6<->m7 flip/FM2, and the bias correction are the ONLY site of several key-function chord RESELECTIONS — L5 must consciously re-home or reject EACH before deletion"
src/composing/analysis/decode/chordpathdecoder.h,L4-SCORER,"LIVE beam-1 chord-path commit-chain re-expression (Stage 3.1, byte-identical; replaces advanceTemporalContext on the production region path). FLAG: retire-vs-survive at engagement is OPEN (Stage-3.2 wider-beam scaffolding vs legacy plumbing) — pass-1"
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,L1,Phrase-boundary primitive impl — L1.5 notation-derived view
src/composing/analysis/engravingbridge/phraseboundaryview.h,L1,Phrase-boundary primitive — L1.5 notation-derived view (cowork_phrase_boundary_design.md)
src/composing/analysis/engravingbridge/regiontonecollector.cpp,L1,Derived summary views impl — L1 §3/§5; check for legacy collectRegionTones residue (R-note)
src/composing/analysis/engravingbridge/regiontonecollector.h,L1,Derived summary views over the note model (weightedPcView/soundingAt) — L1 §3/§5; check for legacy collectRegionTones residue
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,L1,weightedPcView/soundingAt primitive impl — L1 derived views (layer1 design §3)
src/composing/analysis/engravingbridge/spellingview.cpp,L1,Spelling view impl — L1.5 notation-derived reader (R4 survivor)
src/composing/analysis/engravingbridge/spellingview.h,L1,Spelling view — L1.5 notation-derived reader (instruction L1 def; R4 shared-spelling-view survivor)
src/composing/analysis/function/forwardoverride.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/forwardoverride.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functioncadence.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functioncadence.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionmodulation.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionmodulation.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionoutput.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionoutput.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionprogression.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionprogression.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionrelationallabel.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionrelationallabel.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
