file,dimension,locator,line,verdict,rubric_class,reason,flagged,finding
src/composing/analysis/function/forwardoverride.cpp,branch,else-if@34,34,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@32,32,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@61,61,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@64,64,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@74,74,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@77,77,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,branch,if@87,87,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/forwardoverride.cpp,crosslayer,forwardoverride.h@22,22,SURVIVES,crosslayer,external/std-library include; no layer coupling.,no,
src/composing/analysis/function/forwardoverride.cpp,function,forwardRecompute@71,71,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,isClosed@47,47,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,markFinal@52,52,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,overrideBar@26,26,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,overrides@40,40,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,reset@96,96,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,function,tryOverride@58,58,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.cpp,literal,[0.0]@32,32,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/forwardoverride.cpp,literal,[0.0]@33,33,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/forwardoverride.cpp,literal,[1.0]@34,34,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/forwardoverride.cpp,literal,[1.0]@35,35,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/forwardoverride.h,decl,closedCount@146,146,SURVIVES,code,L5-DORMANT type declaration on the dormant value/contract surface; no production use.,no,
src/composing/analysis/function/forwardoverride.h,decl,markFinal@118,118,SURVIVES,code,L5-DORMANT type declaration on the dormant value/contract surface; no production use.,no,
src/composing/analysis/function/forwardoverride.h,decl,reset@149,149,SURVIVES,code,L5-DORMANT type declaration on the dormant value/contract surface; no production use.,no,
src/composing/analysis/function/forwardoverride.h,decl,void@140,140,SURVIVES,code,L5-DORMANT type declaration on the dormant value/contract surface; no production use.,no,
src/composing/analysis/function/forwardoverride.h,field,baseBar@81,81,PUBLISHED,field,"Field on an L5-DORMANT value/contract struct; part of the dormant output surface (read by the module tests and, at engage, the L5->L6 consumer). No siloed/trapped datum found at the struct surface; a per-field consumer trace is an engage-step item.",no,
src/composing/analysis/function/forwardoverride.h,field,confidenceScale@82,82,PUBLISHED,field,"Field on an L5-DORMANT value/contract struct; part of the dormant output surface (read by the module tests and, at engage, the L5->L6 consumer). No siloed/trapped datum found at the struct surface; a per-field consumer trace is an engage-step item.",no,
src/composing/analysis/function/forwardoverride.h,field,m_closed@152,152,PUBLISHED,field,"Field on an L5-DORMANT value/contract struct; part of the dormant output surface (read by the module tests and, at engage, the L5->L6 consumer). No siloed/trapped datum found at the struct surface; a per-field consumer trace is an engage-step item.",no,
src/composing/analysis/function/forwardoverride.h,field,m_recomputing@153,153,PUBLISHED,field,"Field on an L5-DORMANT value/contract struct; part of the dormant output surface (read by the module tests and, at engage, the L5->L6 consumer). No siloed/trapped datum found at the struct surface; a per-field consumer trace is an engage-step item.",no,
src/composing/analysis/function/forwardoverride.h,function,closedCount@146,146,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.h,function,isRecomputing@143,143,SURVIVES,code,L5-DORMANT function in the §8 reusable confidence-weighted forward-override mechanism; no production consumer (only forwardoverride_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/forwardoverride.h,literal,[1.0]@81,81,UNFIT,constant,Named precision-phase weight/threshold default (hand-set 'NOT tuned' firewall seed); IN param_manifest.json (G8/theta). Dormant: changes no production output. Only the direction is fixed by the design; the value is a Stage-5 fit candidate.,no,
src/composing/analysis/function/forwardoverride.h,literal,[1.0]@82,82,UNFIT,constant,Named precision-phase weight/threshold default (hand-set 'NOT tuned' firewall seed); IN param_manifest.json (G8/theta). Dormant: changes no production output. Only the direction is fixed by the design; the value is a Stage-5 fit candidate.,no,
src/composing/analysis/function/functioncadence.cpp,branch,case@183,183,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,case@184,184,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,case@187,187,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,case@190,190,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@107,107,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@110,110,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@128,128,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@140,140,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@148,148,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@151,151,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@166,166,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@169,169,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@172,172,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@176,176,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@179,179,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@220,220,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@223,223,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@226,226,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@230,230,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@239,239,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@248,248,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@256,256,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@264,264,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@295,295,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@298,298,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@309,309,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@317,317,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@320,320,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@326,326,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@352,352,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@355,355,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@360,360,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@367,367,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@400,400,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@403,403,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@406,406,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@410,410,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@416,416,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@42,42,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@444,444,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@447,447,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@453,453,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@456,456,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@461,461,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@474,474,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@499,499,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@509,509,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
