file,line,kind,func,context
src/composing/analysis/joint/jointadapter.cpp,40,ternary,safeLog,return (p > 0.0) ? std::log(p) : log0Floor();
src/composing/analysis/joint/jointadapter.cpp,62,ternary,distGet,return it != d.end() ? it->second : def;
src/composing/analysis/joint/jointadapter.cpp,76,ternary,roleFigures,"const auto& m = (family == ""seventh"") ? seventh : triad;"
src/composing/analysis/joint/jointadapter.cpp,78,ternary,roleFigures,return it != m.end() ? it->second : empty;
src/composing/analysis/joint/jointadapter.cpp,88,if,parseMarginalRoot,if (!jerr.empty()) {
src/composing/analysis/joint/jointadapter.cpp,115,ternary,modeName,return isMajor ? maj : min;
src/composing/analysis/joint/jointadapter.cpp,120,ternary,modeMarginal,return isMajor ? m_margMajor : m_margMinor;
src/composing/analysis/joint/jointadapter.cpp,126,if,anyCadenceWeight,if (cadenceWeight(f) != 0.0) {
src/composing/analysis/joint/jointadapter.cpp,140,if,load,if (!a.m_tables.loaded) {
src/composing/analysis/joint/jointadapter.cpp,147,if,load,if (!f) {
src/composing/analysis/joint/jointadapter.cpp,153,if,load,"if (!parseMarginalRoot(s, root, a.m_error)) {"
src/composing/analysis/joint/jointadapter.cpp,168,if,loadEmbedded,if (!a.m_tables.loaded) {
src/composing/analysis/joint/jointadapter.cpp,173,if,loadEmbedded,"if (!parseMarginalRoot(embedded::kModeMarginal.bytes(), root, a.m_error)) {"
src/composing/analysis/joint/jointadapter.cpp,189,if,firstBucket,if (dist.find(ck) != dist.end()) {
src/composing/analysis/joint/jointadapter.cpp,192,if,firstBucket,if (seen.find(ck) != seen.end()) {
src/composing/analysis/joint/jointadapter.cpp,197,if,firstBucket,if (!par.has_value()) {
src/composing/analysis/joint/jointadapter.cpp,210,if,apportion,if (cached != m_apportionCache.end()) {
src/composing/analysis/joint/jointadapter.cpp,217,if,apportion,"if (firstBucket(dist, Node::ofClass(classFromKey(kv.first)), parentFn) == bucket) {"
src/composing/analysis/joint/jointadapter.cpp,222,ternary,apportion,"const std::pair<double, int> v = { tot > 0.0 ? tot : kAlpha, cnt };"
src/composing/analysis/joint/jointadapter.cpp,232,if,katzQuery,if (direct != dist.end()) {
src/composing/analysis/joint/jointadapter.cpp,236,if,katzQuery,if (!bucket.has_value()) {
src/composing/analysis/joint/jointadapter.cpp,240,if,katzQuery,if (mass <= 0.0) {
src/composing/analysis/joint/jointadapter.cpp,243,if,katzQuery,if (!isClass) {
src/composing/analysis/joint/jointadapter.cpp,247,if,katzQuery,"if (m_leftoverMode == ""even"") {"
src/composing/analysis/joint/jointadapter.cpp,252,ternary,katzQuery,const double margCk = (mIt != marg.end()) ? mIt->second : 0.0;
src/composing/analysis/joint/jointadapter.cpp,253,ternary,katzQuery,return ap.first > 0.0 ? (mass * (margCk + kAlpha) / ap.first) : mass;
src/composing/analysis/joint/jointadapter.cpp,261,if,firstPresentDist,if (it != levels.end()) {
src/composing/analysis/joint/jointadapter.cpp,273,ternary,priorLogp,"const std::string dmode = (declaredMode == ""major"" || declaredMode == ""minor"") ? declaredMode : ""none"";"
src/composing/analysis/joint/jointadapter.cpp,276,ternary,priorLogp,const Dist* dist = (t5it != m_tables.t5.end()) ? &t5it->second
src/composing/analysis/joint/jointadapter.cpp,277,ternary,priorLogp,": (m_tables.t5.count(""none"") ? &m_tables.t5.at(""none"") : &kFallback);"
src/composing/analysis/joint/jointadapter.cpp,279,if,priorLogp,if (!sigFifths.has_value()) {
src/composing/analysis/joint/jointadapter.cpp,284,ternary,priorLogp,"const std::string band = (std::abs(diff) <= 1) ? std::to_string(diff) : ""far"";"
src/composing/analysis/joint/jointadapter.cpp,285,ternary,priorLogp,"const std::string lm = isMajor ? ""M"" : ""m"";"
src/composing/analysis/joint/jointadapter.cpp,287,if,priorLogp,if (dist->find(cell) != dist->end()) {
src/composing/analysis/joint/jointadapter.cpp,291,if,priorLogp,if (dist->find(mcell) != dist->end()) {
src/composing/analysis/joint/jointadapter.cpp,297,if,priorLogp,"if (kv.first.find('|') != std::string::npos && !startsWith(kv.first, ""mode:"")"
src/composing/analysis/joint/jointadapter.cpp,303,ternary,priorLogp,return safeLog(base > 0.0 ? base / residual : 1e-6);
src/composing/analysis/joint/jointadapter.cpp,319,ternary,entryLogp,return p.has_value() ? safeLog(*p) : log0Floor();
src/composing/analysis/joint/jointadapter.cpp,327,if,keyTransLogp,if (tonicPrev == tonic && majorPrev == isMajor) {
src/composing/analysis/joint/jointadapter.cpp,332,if,keyTransLogp,"if (kind == ""parallel"" || kind == ""relative"") {"
src/composing/analysis/joint/jointadapter.cpp,336,ternary,keyTransLogp,"const std::string mp = std::string(majorPrev ? ""M"" : ""m"") + (isMajor ? ""M"" : ""m"");"
src/composing/analysis/joint/jointadapter.cpp,336,ternary,keyTransLogp,"const std::string mp = std::string(majorPrev ? ""M"" : ""m"") + (isMajor ? ""M"" : ""m"");"
src/composing/analysis/joint/jointadapter.cpp,337,ternary,keyTransLogp,"const std::string band = (dist <= 2) ? (""cof"" + std::to_string(dist)) : ""cofFar"";"
src/composing/analysis/joint/jointadapter.cpp,340,if,keyTransLogp,if (t2.find(cell) != t2.end()) {
src/composing/analysis/joint/jointadapter.cpp,344,if,keyTransLogp,if (bar != std::string::npos) {
src/composing/analysis/joint/jointadapter.cpp,346,if,keyTransLogp,if (t2.find(mpCell) != t2.end()) {
src/composing/analysis/joint/jointadapter.cpp,357,ternary,chordTransLogp,const KatzTable& t1 = isMajor ? m_tables.t1Major : m_tables.t1Minor;
src/composing/analysis/joint/jointadapter.cpp,366,if,chordTransLogp,if (rit != t1.rows.end()) {
src/composing/analysis/joint/jointadapter.cpp,374,if,chordTransLogp,if (t1.levels.find(k) != t1.levels.end()) {
src/composing/analysis/joint/jointadapter.cpp,381,ternary,chordTransLogp,dist = (lit != t1.levels.end()) ? &lit->second : &kEmpty;
src/composing/analysis/joint/jointadapter.cpp,383,if,chordTransLogp,"if (startsWith(contextUsed, kRel)) {"
src/composing/analysis/joint/jointadapter.cpp,387,ternary,chordTransLogp,return p.has_value() ? safeLog(*p) : log0Floor();
src/composing/analysis/joint/jointadapter.cpp,391,ternary,chordTransLogp,return p.has_value() ? safeLog(*p) : log0Floor();
src/composing/analysis/joint/jointadapter.cpp,402,if,emissionLogp,if (rit != m_tables.emission.rows.end()) {
src/composing/analysis/joint/jointadapter.cpp,408,if,emissionLogp,if (dist == nullptr) {
src/composing/analysis/joint/jointadapter.cpp,412,if,emissionLogp,if (it == dist->end() || it->second <= 0.0) {
src/composing/analysis/joint/jointadapter.cpp,413,ternary,emissionLogp,return safeLog(!dist->empty() ? 1.0 / (distSum(*dist) + 3.0) : 1e-4);
src/composing/analysis/joint/jointadapter.cpp,424,ternary,spellingLogp,const Dist& dist = (sit != m_tables.spelling.end()) ? sit->second : kEmpty;
src/composing/analysis/joint/jointadapter.cpp,425,if,spellingLogp,if (dist.find(sbin) != dist.end()) {
src/composing/analysis/joint/jointadapter.cpp,432,if,spellingLogp,if (it != dist.end()) {
src/composing/analysis/joint/jointadapter.cpp,446,if,bassLogp,if (role == nullptr) {
