process_order,row_id,kind,file,line,label,verdict,reasoning
1,field|src/composing/analysis/key/modepriorpresets.h|42|1588,field,src/composing/analysis/key/modepriorpresets.h,42,ModePriorPreset::name,PUBLISHED,"Display-name label for a mode-prior preset; consumed by the preset-selection UI/tools. A config/display field, not a derived analytical fact. No issue."
2,literal|src/composing/analysis/key/keymodeanalyzer.cpp|148|257,literal,src/composing/analysis/key/keymodeanalyzer.cpp,148,3 in ionianTonicPcForMode,ESTABLISHED,IONIAN_OFFSETS[HarmonicMinor]=+3: a harmonic-minor tonic maps to its relative-major Ionian tonic (+3 = -9 mod 12); theory-consistent with keyModeTonicOffset. Live.
3,literal|src/composing/analysis/section/jointkeydecision.cpp|86|714,literal,src/composing/analysis/section/jointkeydecision.cpp,86,7 in <file-scope>,ESTABLISHED,"Perfect fifth (7) of the Maj6 tertian template {0,4,7,9}; part of the standard chord vocabulary used by the diagnostic chord-pinned test. Correct."
4,literal|src/composing/analysis/key/keymodeanalyzer.h|141|421,literal,src/composing/analysis/key/keymodeanalyzer.h,141,0.0 in <file-scope>,ESTABLISHED,Zero-initializer of the diagnostic KeyCandidateScore::tonalCenterScore field; inert default.
5,crosslayer|src/composing/analysis/section/sectionanalyzer.cpp|52|1927,crosslayer,src/composing/analysis/section/sectionanalyzer.cpp,52,include composing/analysis/chord/analysisutils.h -> chord,SURVIVES,L3-mixed section analyzer includes chord/analysisutils.h for shared pitch-class helpers (normalizePc etc.); functional low-level util dependency.
6,literal|src/composing/analysis/types/analysistypes.h|833|934,literal,src/composing/analysis/types/analysistypes.h,833,0.0 in bounds,ESTABLISHED,"Lower bound of the Stage-5 fitter search range for extraScaleFactor; default 0.10 lies in [0.0,0.5]. Consistent."
7,branch|src/composing/analysis/section/sectionanalyzer.cpp|589|1496,branch,src/composing/analysis/section/sectionanalyzer.cpp,589,ternary in analyzeSection,SURVIVES,Returns &*it or nullptr from find_if in nextRegionStartingAtOrAfter; standard end-guard. Correct.
8,field|src/composing/analysis/key/keyresolver.h|97|1586,field,src/composing/analysis/key/keyresolver.h,97,KeySignatureContext::correctedFifths,PUBLISHED,The partial-signature-corrected fifths — the single source of truth the L3 decoder wiring anchors on (resolveKeySignatureContext); consumed by analyzeRegions decode. Published.
9,field|src/composing/analysis/section/jointkeydecision.h|169|1689,field,src/composing/analysis/section/jointkeydecision.h,169,JointKeyDecision::jointTonicPc,PUBLISHED,"Config-B (scoped-joint) tonic decision; emitted to the --dump-joint-key diagnostic. Production wiring reads softTonicPc, not this — a deliberate attribution-toggle field published to the measurement surface."
10,field|src/composing/analysis/key/keymodesequence.h|161|1570,field,src/composing/analysis/key/keymodesequence.h,161,SliceKeyMode::alternatives,PUBLISHED,The slice's ranked alternative keys; consumed by regionanalyzer localKeyForRegion to build the region-level candidate-key menu (info-loss #12 carry). Published/consumed.
11,branch|src/composing/analysis/key/keymodeanalyzer.h|66|1128,branch,src/composing/analysis/key/keymodeanalyzer.h,66,case in keyModeIsMajor,SURVIVES,"Lydian Dominant {0,2,4,6,7,9,10} has a major third (4); correctly grouped with the major-third modes in keyModeIsMajor."
12,literal|src/composing/analysis/section/jointkeydecision.cpp|80|692,literal,src/composing/analysis/section/jointkeydecision.cpp,80,4 in <file-scope>,ESTABLISHED,"Major third (4) of the Dom7 template {0,4,7,10}; standard chord vocabulary. Correct."
13,branch|src/composing/analysis/key/keymodesequence.cpp|380|1208,branch,src/composing/analysis/key/keymodesequence.cpp,380,ternary in decodeLattice,SURVIVES,Single-state (no competitor) slice → high sentinel confidence kSingleStateConfidence; else the sequence margin. Correct edge handling.
14,function|src/composing/analysis/section/localmodulationdetector.cpp|65|66,function,src/composing/analysis/section/localmodulationdetector.cpp,65,lmdOutOfCollectionCount(),SURVIVES,"lmdOutOfCollectionCount counts mask pcs outside the local collection; used by the establishment consistency test. Correct, key-agnostic."
15,branch|src/composing/analysis/key/keymodeanalyzer.cpp|288|1057,branch,src/composing/analysis/key/keymodeanalyzer.cpp,288,else-if in scoreTriadEvidence,SURVIVES,else-if accumulates non-triad in-scale note weight into extraScaleWeight in scoreTriadEvidence; correct diminishing-returns term.
16,literal|src/composing/analysis/key/keymodeanalyzer.cpp|588|367,literal,src/composing/analysis/key/keymodeanalyzer.cpp,588,0.0 in analyzeKeyMode,DEAD,"Assigns 0.0 to CandidateEvaluation::extraToneScore, a field declared at L217 and assigned here but READ NOWHERE (grep-confirmed) — a vestigial/dead field (waste per #6/#12). The value is inert; the field and this write are removable."
17,branch|src/composing/analysis/key/keymodeanalyzer.cpp|181|1046,branch,src/composing/analysis/key/keymodeanalyzer.cpp,181,case in possibleIonianFifthsForPc,SURVIVES,"possibleIonianFifthsForPc case 10 (Bb) → {-2,-2} = 2 flats; correct key-signature fifths."
18,branch|src/composing/analysis/region/regionanalyzer.cpp|249|1267,branch,src/composing/analysis/region/regionanalyzer.cpp,249,if in absorbShortRegions,SURVIVES,absorbShortRegions absorbs a sub-threshold region into its predecessor by extending endTick; correct chord-rhythm smoothing.
