file,line,table,name_or_value,func,verdict,finding_slug,ref,note
tools/a8_rebaseline_measure.py,46,crosslayer,compare_analyses,,SURVIVES,,,"internal import of compare_analyses - measurement-chain unification DAG (reuse, not duplication)."
tools/a8_rebaseline_measure.py,47,crosslayer,compare_rn,,SURVIVES,,,"internal import of compare_rn - measurement-chain unification DAG (reuse, not duplication)."
tools/a8_rebaseline_measure.py,48,crosslayer,characterise_bir_false,,SURVIVES,,,"internal import of characterise_bir_false - measurement-chain unification DAG (reuse, not duplication)."
tools/a8_rebaseline_measure.py,49,crosslayer,dcml_parser,,SURVIVES,,,"internal import of dcml_parser - measurement-chain unification DAG (reuse, not duplication)."
tools/a8_rebaseline_measure.py,74,functions,_pcs,,SURVIVES,,,_pcs(): live instrument function on the measurement/library path.
tools/a8_rebaseline_measure.py,75,branches,,_pcs,SURVIVES,,,control-flow guard in _pcs() - live measurement/library path.
tools/a8_rebaseline_measure.py,77,literals,12,_pcs,FACT,,,octave = 12 semitones - pitch-class modular arithmetic (music theory).
tools/a8_rebaseline_measure.py,80,functions,_t_invariant,,SURVIVES,,,_t_invariant(): live instrument function on the measurement/library path.
tools/a8_rebaseline_measure.py,82,branches,,_t_invariant,SURVIVES,,,control-flow guard in _t_invariant() - live measurement/library path.
tools/a8_rebaseline_measure.py,84,literals,12,_t_invariant,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,87,functions,_is_halfdim_or_min6_set,,SURVIVES,,,_is_halfdim_or_min6_set(): live instrument function on the measurement/library path.
tools/a8_rebaseline_measure.py,89,branches,,_is_halfdim_or_min6_set,SURVIVES,,,control-flow guard in _is_halfdim_or_min6_set() - live measurement/library path.
tools/a8_rebaseline_measure.py,89,literals,4,_is_halfdim_or_min6_set,SURVIVES,,,structural index / slice / small numeric literal in library logic - not an inference-affecting constant.
tools/a8_rebaseline_measure.py,91,branches,,_is_halfdim_or_min6_set,SURVIVES,,,control-flow guard in _is_halfdim_or_min6_set() - live measurement/library path.
tools/a8_rebaseline_measure.py,92,branches,,_is_halfdim_or_min6_set,SURVIVES,,,control-flow guard in _is_halfdim_or_min6_set() - live measurement/library path.
tools/a8_rebaseline_measure.py,92,literals,12,_is_halfdim_or_min6_set,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,92,literals,3,_is_halfdim_or_min6_set,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,92,literals,6,_is_halfdim_or_min6_set,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,92,literals,10,_is_halfdim_or_min6_set,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,97,functions,cell_class,,SURVIVES,cell-class-split-no-independent-cross-check,F13,cell_class: the class-(a)/(b) split (the hard-stop-governing quantity) is a pure pc-set test on our_region.pitch_class_set. Inherits the RN-bucket self-validation transitively (validated cell membership) but has NO independent second implementation cross-checking the class split. Missing pitchClassSet -> class 'b' (conservative/safe).
tools/a8_rebaseline_measure.py,100,branches,,cell_class,SURVIVES,,,control-flow guard in cell_class() - live measurement/library path.
tools/a8_rebaseline_measure.py,100,literals,3,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,100,literals,3,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,102,branches,,cell_class,SURVIVES,,,control-flow guard in cell_class() - live measurement/library path.
tools/a8_rebaseline_measure.py,102,literals,3,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,102,literals,4,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,104,branches,,cell_class,SURVIVES,,,control-flow guard in cell_class() - live measurement/library path.
tools/a8_rebaseline_measure.py,104,literals,4,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
tools/a8_rebaseline_measure.py,104,literals,2,cell_class,FACT,,,"pitch-class / diatonic-degree / modular-interval constant (music theory) - e.g. note->pc, scale-degree semitone table, or octave-12 arithmetic."
