file,line,value,func,context
src/composing/analysis/joint/jointadapter.cpp,36,1.0,<file-scope>,static const double kAlpha = 1.0;   // glt.ALPHA
src/composing/analysis/joint/jointadapter.cpp,40,0.0,safeLog,return (p > 0.0) ? std::log(p) : log0Floor();
src/composing/analysis/joint/jointadapter.cpp,59,0.0,distGet,"double distGet(const Dist& d, const std::string& k, double def = 0.0)"
src/composing/analysis/joint/jointadapter.cpp,126,0.0,anyCadenceWeight,if (cadenceWeight(f) != 0.0) {
src/composing/analysis/joint/jointadapter.cpp,214,0.0,apportion,double tot = 0.0;
src/composing/analysis/joint/jointadapter.cpp,222,0.0,apportion,"const std::pair<double, int> v = { tot > 0.0 ? tot : kAlpha, cnt };"
src/composing/analysis/joint/jointadapter.cpp,239,0.0,katzQuery,"const double mass = distGet(dist, *bucket, 0.0);"
src/composing/analysis/joint/jointadapter.cpp,240,0.0,katzQuery,if (mass <= 0.0) {
src/composing/analysis/joint/jointadapter.cpp,252,0.0,katzQuery,const double margCk = (mIt != marg.end()) ? mIt->second : 0.0;
src/composing/analysis/joint/jointadapter.cpp,253,0.0,katzQuery,return ap.first > 0.0 ? (mass * (margCk + kAlpha) / ap.first) : mass;
src/composing/analysis/joint/jointadapter.cpp,275,1.0,priorLogp,"static const Dist kFallback = { { ""BASE"", 1.0 } };"
src/composing/analysis/joint/jointadapter.cpp,280,1.0,priorLogp,"return safeLog(distGet(*dist, ""BASE"", 1.0 / 24.0));"
src/composing/analysis/joint/jointadapter.cpp,280,24.0,priorLogp,"return safeLog(distGet(*dist, ""BASE"", 1.0 / 24.0));"
src/composing/analysis/joint/jointadapter.cpp,294,0.0,priorLogp,"const double base = distGet(*dist, ""BASE"", 0.0);"
src/composing/analysis/joint/jointadapter.cpp,302,24,priorLogp,"const int residual = std::max(1, 24 - concrete);"
src/composing/analysis/joint/jointadapter.cpp,303,0.0,priorLogp,return safeLog(base > 0.0 ? base / residual : 1e-6);
src/composing/analysis/joint/jointadapter.cpp,303,1e-6,priorLogp,return safeLog(base > 0.0 ? base / residual : 1e-6);
src/composing/analysis/joint/jointadapter.cpp,328,1e-6,keyTransLogp,"return safeLog(distGet(t2, ""stay"", 1e-6));"
src/composing/analysis/joint/jointadapter.cpp,337,2,keyTransLogp,"const std::string band = (dist <= 2) ? (""cof"" + std::to_string(dist)) : ""cofFar"";"
src/composing/analysis/joint/jointadapter.cpp,350,1e-6,keyTransLogp,"return safeLog(distGet(t2, ""BASE"", 1e-6));"
src/composing/analysis/joint/jointadapter.cpp,412,0.0,emissionLogp,if (it == dist->end() || it->second <= 0.0) {
src/composing/analysis/joint/jointadapter.cpp,413,1.0,emissionLogp,return safeLog(!dist->empty() ? 1.0 / (distSum(*dist) + 3.0) : 1e-4);
src/composing/analysis/joint/jointadapter.cpp,413,3.0,emissionLogp,return safeLog(!dist->empty() ? 1.0 / (distSum(*dist) + 3.0) : 1e-4);
src/composing/analysis/joint/jointadapter.cpp,413,1e-4,emissionLogp,return safeLog(!dist->empty() ? 1.0 / (distSum(*dist) + 3.0) : 1e-4);
src/composing/analysis/joint/jointadapter.cpp,438,1e-4,spellingLogp,"return safeLog(distGet(dist, ""BASE"", 1e-4));"
src/composing/analysis/joint/jointadapter.cpp,447,0.02,bassLogp,return safeLog(0.02);              // a non-chord-factor bass — a floor
src/composing/analysis/joint/jointadapter.cpp,462,0.0,bassLogp,double p = 0.0;
src/composing/analysis/joint/jointadapter.cpp,464,0.0,bassLogp,"p += distGet(*dist, fig, 0.0);"
src/composing/analysis/joint/jointadapter.cpp,466,0.0,bassLogp,if (p <= 0.0) {
src/composing/analysis/joint/jointadapter.cpp,467,0.01,bassLogp,return safeLog(0.01);
src/composing/analysis/joint/jointadapter.cpp,477,0.05,factorAbsentLogp,return safeLog(0.05);
src/composing/analysis/joint/jointadapter.cpp,489,0.0,boundaryLogp,double p = 0.0;
src/composing/analysis/joint/jointadapter.cpp,502,0.0,boundaryLogp,return 0.0;
src/composing/analysis/joint/jointadapter.cpp,504,1e-6,boundaryLogp,"p = std::min(std::max(p, 1e-6), 1.0 - 1e-6);"
src/composing/analysis/joint/jointadapter.cpp,504,1.0,boundaryLogp,"p = std::min(std::max(p, 1e-6), 1.0 - 1e-6);"
src/composing/analysis/joint/jointadapter.cpp,504,1e-6,boundaryLogp,"p = std::min(std::max(p, 1e-6), 1.0 - 1e-6);"
src/composing/analysis/joint/jointadapter.cpp,505,1.0,boundaryLogp,return std::log(isBoundary ? p : (1.0 - p));
src/composing/analysis/joint/jointadapter.h,46,1e-9,log0Floor,inline double log0Floor() { return std::log(1e-9); }         // LOG0_FLOOR
src/composing/analysis/joint/jointdecoder.cpp,39,6,<file-scope>,constexpr int kKeyPruneTopK = 6;
src/composing/analysis/joint/jointdecoder.cpp,40,4,<file-scope>,constexpr int kCadenceApproachTicks = 4 * 480;   // ★R1: the four-beat approach window
src/composing/analysis/joint/jointdecoder.cpp,40,480,<file-scope>,constexpr int kCadenceApproachTicks = 4 * 480;   // ★R1: the four-beat approach window
