file,loc,kind,name,population,verdict_class,verdict,in_param_manifest,flagged,rationale
src/composing/analysis/chord/analysisutils.h,38-43,function,endsWith,SURVIVES-oracle,code,ESTABLISHED,na,no,generic string suffix test; SURVIVES.
src/composing/analysis/chord/analysisutils.h,46-66,function,ionianTonicPcFromFifths,SURVIVES-oracle,premise,FACT,na,no,circle-of-fifths -> Ionian tonic pitch class; verified against theory; SURVIVES (cross-cutting).
src/composing/analysis/chord/analysisutils.h,69-73,function,normalizePc,SURVIVES-oracle,code,FACT,na,no,pitch-class reduction mod 12; SURVIVES (cross-cutting).
src/composing/analysis/chord/analysisutils.h,77-80,function,pcInMask,SURVIVES-oracle,code,FACT,na,no,12-bit mask membership test; SURVIVES.
src/composing/analysis/chord/analysisutils.h,87-94,function,diatonicMaskFromFifths,SURVIVES-oracle,premise,FACT,na,no,position i has pc (7*i) mod 12 = circle of fifths; verified; SURVIVES (cross-cutting).
src/composing/analysis/chord/analysisutils.h,103-118,function,collectionMask,SURVIVES-oracle,premise,THEORY,na,no,minor = natural minor + raised leading tone (harmonic-minor collection); documented design choice; SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,197-244,function,categorizeExtraNote,SURVIVES-oracle,premise,THEORY,na,yes,non-template-note quality classification; carries a `// BUG-10` marker at the Diminished/P5 branch (line ~216) -- a tracked in-code bug label; cross-check register at unblind.
src/composing/analysis/chord/chordanalyzer.cpp,268-381,function,detectExtensions,SURVIVES-oracle,code,THEORY,na,yes,extension/alteration bitmask detection; contains inline magic thresholds (0.3/0.2/0.1) NOT registered in the override manifest -- see literal flags.
src/composing/analysis/chord/chordanalyzer.cpp,386-406,function,extensionBits,SURVIVES-oracle,code,SURVIVES,na,no,single flag->bit mapping shared by buildChordResult + deriveChordExtensions; SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,429-439,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,448-461,function,scoreTemplateTones,SURVIVES-oracle,code,THEORY,na,no,weighted template-tone presence (root/second/other factors); SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,471-542,function,scoreExtraNotes,SURVIVES-oracle,code,THEORY,na,no,signed non-template contribution; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,547-580,function,dim7CharacteristicBonus,SURVIVES-oracle,premise,THEORY,na,no,dim7 rotation selector via non-diatonic bb7 (documented scoring_model.md 4); SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,592-611,function,countTpcMatches,SURVIVES-oracle,code,SURVIVES,na,no,TPC-match counting helper; SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,627-649,function,nonBassAdjustment,SURVIVES-oracle,code,THEORY,na,no,non-bass penalty with TPC waiver; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,655-738,function,structuralPenalties,SURVIVES-oracle,code,THEORY,na,yes,template self-consistency penalties; inline 0.05 presence literals duplicate kBassSupportPresenceThreshold.
src/composing/analysis/chord/chordanalyzer.cpp,743-749,function,tpcConsistencyBonus,SURVIVES-oracle,code,SURVIVES,na,no,per-tone TPC spelling bonus; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,751-800,function,bassRootBonusMultiplier,SURVIVES-oracle,code,SURVIVES,na,no,bass-root bonus multiplier (full/third-only/alone); SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,802-811,function,templateHasMatchingThird,SURVIVES-oracle,code,SURVIVES,na,no,vertical third-presence predicate; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,813-822,function,templateHasMatchingFifth,SURVIVES-oracle,code,SURVIVES,na,no,vertical fifth-presence predicate; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,824-848,function,qualifiesForCompleteTriadInversionBonus,SURVIVES-oracle,code,SURVIVES,na,no,vertical inversion-eligibility flag published to the snapshot; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,850-865,function,supportsContextualInversionBonuses,SURVIVES-oracle,code,SURVIVES,na,no,vertical inversion-eligibility flag published to the snapshot; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,867-878,function,appliedBassRootBonus,SURVIVES-oracle,code,SURVIVES,na,yes,applies prefs.bassNoteRootBonus (code value 0.70); ARCHITECTURE.md 4.1/4.1b document 0.65 -- doc drift (scoring_model.md 0.70 is correct).
src/composing/analysis/chord/chordanalyzer.cpp,896-907,function,diatonicRootContribution,SURVIVES-oracle,code,THEORY,na,no,the one bass-independent key fact folded into basisIndep; SURVIVES-oracle.
src/composing/analysis/chord/chordanalyzer.cpp,911-1038,function,buildChordResult,SURVIVES-oracle,code,SURVIVES,na,no,"the single result builder (aug-root correction, Sus2->Sus4, Sus->Major(omitsThird), extension/degree/diatonic); SURVIVES-oracle."
src/composing/analysis/chord/chordanalyzer.cpp,1040-1058,function,deriveChordExtensions,SURVIVES-oracle,code,SURVIVES,na,no,fixed-quality extension extraction exposed for the L4->L5 decoder carry; SURVIVES (decoder-consumed).
src/composing/analysis/chord/chordanalyzer.cpp,1306-1306,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
