process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
1,branch|tools/compare_rn.py|348#0,instrument_core,branch,tools/compare_rn.py,348,if in classify_pair,,SURVIVES,"if either RN is unparseable, fall back to root-pc-only classification.",partial (root agrees) or root_err (root differs) for unparseable-RN pairs.,classify_pair; feeds all bucket counters.,"Conservative — a root-agree-but-unparseable pair is 'partial', never 'exact', so no over-claim. dcml_region.root_pc None already filtered above (l.335). No silent drop: pair is still emitted and counted.",none,Documented root-only fallback that avoids false exact-match; no data dropped.,blind-reader:g2a_core1
2,branch|tools/batch_analyze.cpp|2579#0,harness,branch,tools/batch_analyze.cpp,2579,if in runReachBackAB,,SURVIVES,two analyses are 'same' only if key mode (major/minor) also agrees.,nothing (equality predicate).,sameAnalysis() drives the changed-count in the A/B report.,isMajor() mismatch correctly makes the analyses differ; part of a complete field-by-field compare (start/end/tonic/mode/root/quality).,none,Correct component of the analysis-equality predicate.,blind-reader:g4_harness
3,branch|tools/batch_analyze.cpp|3957#0,harness,branch,tools/batch_analyze.cpp,3957,if in main,,SURVIVES,--dump-regions requires a following mode token.,nothing (arg validation).,the arg parser in main.,i+1>=size correctly detects a missing argument and errors out; no silent default.,none,Correct missing-argument guard.,blind-reader:g4_harness
4,function|tools/compare_analyses.py|637#0,instrument_core,function,tools/compare_analyses.py,637,compare_dcml_anchored(),,SURVIVES,each DCML annotation is scored against its single max-overlap ours region; DcmlRegion.root_pc/roman_numeral present.,PUBLISHED — DcmlAnchoredResult rows (root_pc agree + case-sensitive rn_agree per annotation).,dcml_anchored_summarize (l.691); the DCML-anchored (every-annotation) view.,No alignment threshold (every DCML annotation counted; 'no_ours_coverage' only on literal zero overlap) — a deliberate anti-sampling-bias choice documented in the header. rn_agree gated on both sides parseable. root_pc None skipped by summarizer's scoreable denom. Sound.,none,"Correct DCML-anchored comparator; reuses _dcml_time_spans + _rn_base_cased, no re-derivation.",blind-reader:g2a_core1
5,literal|tools/batch_analyze.cpp|3484#1,harness,literal,tools/batch_analyze.cpp,3484,1.0 in runFullSpine,no,ESTABLISHED,beats are 1-indexed in quarter-note units; a missing measure defaults to beat 1.0.,beat field in the --dump-fullspine JSON.,the a8/robust-unit grader join.,1.0 base + (tickInMeasure)/DIVISION matches the identical beat formula elsewhere (2477); 1.0 fallback when no measure located.,none,"1-indexed beat base; structural, consistent with the other beat computations.",blind-reader:g4_harness
6,literal|tools/oracle_root_metric.py|317#0,instrument_grading_fitting,literal,tools/oracle_root_metric.py,317,6 in run_preset,no,ESTABLISHED,at most 6 worked examples per tier is enough for the diagnostic.,caps the per-tier examples list in the emitted JSON.,emit_json 'examples'.,"cap on illustrative examples, not on the counted case-identity sets (those are complete).",none,Display example cap; does not affect any measured quantity.,blind-reader:g3_grading
7,function|src/composing/analysis/progression/progressionrecognizer.cpp|199#0,dormant_resolver,function,src/composing/analysis/progression/progressionrecognizer.cpp,199,recognizeProgressions(),,SURVIVES,the three-phase §4.5 mixture (recognise -> histogram-blend -> weight/admit/emit) plus §4.3/§4.4/§4.6 assembly; reuses HarmonicVocabulary::recognise (one matcher).,"PUBLISHED - ProgressionRecognitionOutput (weights, schemaSpans, abstainedFeatures, overrides, sequences).","tools/batch_analyze.cpp --dump-progressions (default OFF) + progressionrecognizer_tests.cpp; no production consumer (design §7 DORMANT, verified).","empty progression -> empty out; forward-only phases; overrides structurally inert under the exact-match v1 matcher (documented, built for the Stage-5 partial matcher).",none,Legitimate dormant consumer scaffolding; owns no second matcher/grammar (reuses the Vocabulary + functionprogression grammar). Correct.,blind-reader:g1b_cadence
8,io|tools/dcml_parser.py|360#0,instrument_core,io,tools/dcml_parser.py,360,open in parse_cadence_phrase_markers,,SURVIVES,"GT harmonies.tsv is UTF-8, tab-delimited, with a header row.",reads cadence/phraseend marker rows (independent of the numeral column).,parse_cadence_phrase_markers -> compare_l6_oracle.py / compare_progressions_oracle.py.,newline='' + encoding='utf-8' is the correct csv.DictReader idiom. Dedicated reader visits EVERY row incl. rest rows so markers on empty-numeral rows (10.7% phraseend / 1.1% cadence) are not dropped — documented no-loss rationale. Reuses the same tick arithmetic as the region path.,none,"Correct GT file read; deliberately complete marker coverage, no silent drop.",blind-reader:g2a_core1
9,field|tools/compare_rn.py|406#0,instrument_core,field,tools/compare_rn.py,406,PieceStats::root_err,,PUBLISHED,root_err = ours vs DCML root-pc disagreement count.,"PUBLISHED — root_err, the root-disagreement metric.","PieceStats.add (l.443), score_regions (l.503), format_report (l.753), run_dlc_baseline.py:190, tests.","Header/format_report label it 'same set as BIR=false fraction' — this is the project's documented cross-check (reference_bir_metric_scripts.md), an ours-vs-GT root-disagree set, not literally our bassIsRoot flag; the equivalence is an asserted measured correspondence, not computed here. Field itself is a clean counter.",none,Load-bearing published metric counter; aggregation + reporting + tests all consume it.,blind-reader:g2a_core1
10,field|src/composing/analysis/function/functionromannumeral.h|71#0,dormant_resolver,field,src/composing/analysis/function/functionromannumeral.h,71,BaseRomanNumeralInput::keyTonicPc,,SURVIVES,0=C tonic pitch class from the L3 region key.,prevailing tonic pc into the RN context.,deriveBaseRomanNumeral (result.function.keyTonicPc = in.keyTonicPc).,default 0.,none,Consumed input field. Correct.,blind-reader:g1b_cadence
