kind,file,line,ident,context,population,verdict,fire_route,in_param_manifest,notes
function,src/composing/analysis/chord/chordslicedecoder.cpp,51,verticalScore,verticalScore (51-55),L4-DECODER,SURVIVES,BOTH,,"Pure. Assumes ScoringCell carries basisIndep/basisDep/complexityFactor/augFactor/wCompleteBonus (the one scorer's cube cell). Publishes the null-context vertical fit score (the ranking key). Formula identical to DiagnosticOracleCell::verticalScore — ONE score formula, no second scorer (#6-clean). BOUNDARY: ScoringCell fields owned by the scoring-oracle session."
function,src/composing/analysis/chord/chordslicedecoder.cpp,60,candidateBetter,candidateBetter (60-72),L4-DECODER,SURVIVES,BOTH,,"Strict weak ordering: score desc, then template index, root pc, bass pc — fully deterministic (determinism test-covered). No edge hazard (total order)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,74,sameChordVoicing,sameChordVoicing (74-77),L4-DECODER,SURVIVES,BOTH,,"Pure equality on (root,quality,bass) — the 'same voicing' identity for alternative dedup."
function,src/composing/analysis/chord/chordslicedecoder.cpp,79,sameChordSymbol,sameChordSymbol (79-82),L4-DECODER,SURVIVES,BOTH,,"Pure equality on (root,quality) ignoring bass — the 'different chord' identity for the confidence margin and open-question."
function,src/composing/analysis/chord/chordslicedecoder.cpp,88,templateToneCount,templateToneCount (88-98),L4-DECODER,SURVIVES,BOTH,,Sufficiency DENOMINATOR: counts non-(-1) intervals of kTemplateIntervals[tie]. Edge: tie<0 or >=kTemplateCount -> 0 (guarded). Consumes kTemplateIntervals/kTemplateCount as the SINGLE source (no second interval set). BOUNDARY: kTemplateIntervals owned by the oracle session.
function,src/composing/analysis/chord/chordslicedecoder.cpp,106,sameCollectionOverFocal,sameCollectionOverFocal (106-121),L4-DECODER,SURVIVES,CORPUS,,G6 share-tone cue: every focal pc is a template tone of a OR b AND each covers >=3. Publishes the ShareTone signal into nameOpenQuestion. Edge: empty focal -> false. Consumes bassIsTemplateChordTone (oracle). Fires: ShareTone ambiguity 11.5% of slices.
function,src/composing/analysis/chord/chordslicedecoder.cpp,127,relativePair,relativePair (127-134),L4-DECODER,SURVIVES,CORPUS,,"G6 relative-pair cue: roots a minor third apart (delta in {3,9}) + maj<->min. Publishes RelativePair signal (fires 2.1%). Uses the coarse ChordQuality category (a triad-quality fact)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,142,eligibleNotesInSpan,eligibleNotesInSpan (142-165),L4-DECODER,SURVIVES,BOTH,,"Projects NoteModel::overlapping -> FocalNote with the SAME eligibility filter as weightedPcView/soundingAt (plays&&visible&&staffEligible&&!grace&&!excluded), so the focal pc set matches the grader. Consumes NoteModel::overlapping + regionMetricWeightForOnsetTick (L1/L1.5 boundary). Edge: grace/excluded dropped; ties are tie-resolved on the NoteEvent."
function,src/composing/analysis/chord/chordslicedecoder.cpp,168,distinctPcCount,distinctPcCount (168-177),L4-DECODER,SURVIVES,BOTH,,Distinct pcs over a focal set (12-bool sieve). Pure; drives the adaptive-window stop condition.
function,src/composing/analysis/chord/chordslicedecoder.cpp,186,adaptiveWindow,adaptiveWindow (186-218),L4-DECODER,SURVIVES,BOTH,,"Lazy-extend window: base +/-contextSlices, grow to minHarmonyPcs distinct pcs OR +/-maxContextSlices. Assumes slices tile the domain contiguously (documented). Edge: clamps at the slice-vector edges; reports clampedLo/Hi for decodeSelection (null out-params keep the decode()/diagnostic caller inert). Consumes eligibleNotesInSpan for the distinct-pc probe."
function,src/composing/analysis/chord/chordslicedecoder.cpp,223,isChordToneOfAny,isChordToneOfAny (223-231),L4-DECODER,SURVIVES,BOTH,,Reuses bassIsTemplateChordTone over a chord list (the one chord-tone oracle / kMasks) — no second interval set. Pure. BOUNDARY: bassIsTemplateChordTone owned by the oracle session.
function,src/composing/analysis/chord/chordslicedecoder.cpp,235,noteSalience,noteSalience (235-240),L4-DECODER,SURVIVES,CORPUS,,"metricWeight[0.5,1] x min(1, durQn/ref) — the embellishment-likeness signal. Edge: ref floored at 1e-6. Consumes membershipReferenceDurationQn (a decoder seed)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,242,isSemitoneStep,isSemitoneStep (242-246),L4-DECODER,SURVIVES,CORPUS,,"Tests a melodic STEP: |p1-p2| in {1,2} (minor OR major 2nd). FINDING (naming): the name says 'Semitone' but d==2 (a whole tone) also returns true — it is a <=major-2nd step test, matching its own comment ('minor/major 2nd') but not its name. Behaviour correct; name imprecise."
function,src/composing/analysis/chord/chordslicedecoder.cpp,268,stepwiseSignals,stepwiseSignals (268-318),L4-DECODER,SURVIVES,CORPUS,,Per-voice melodic pred/succ within stepwiseGapToleranceTicks; computes stepIn/stepOut/leapIn/leapOut/suspension. Edge: absent pred/succ (boundary / isolated note) -> those signals false; prevChord/nextChord may be null (two-pass off / boundary). Consumes isSemitoneStep + isChordToneOfAny. Publishes StepwiseSignals into classifyTone.
function,src/composing/analysis/chord/chordslicedecoder.cpp,341,classifyTone,classifyTone (341-375),L4-DECODER,SURVIVES,CORPUS,,"The three-tier ladder: Tier1 (suspension | stepIn&&stepOut) -> NCT; Tier3 (one-sided step) -> appoggiatura(stepOut)=NCT else salience; Tier2 (leapIn&&leapOut) -> CT; fallthrough (isolated / one open side) -> salience. Structure decides Tiers 1/2, weight only Tier 3 + fallthrough. Publishes ToneOutcome."
function,src/composing/analysis/chord/chordslicedecoder.cpp,383,allFocalAreTemplateTonesOf,allFocalAreTemplateTonesOf (383-392),L4-DECODER,SURVIVES,CORPUS,,Template-only inherit base (the conservative G1 inherit where no next-provisional confirms a continuation). Pure. BOUNDARY: bassIsTemplateChordTone (oracle).
function,src/composing/analysis/chord/chordslicedecoder.cpp,405,focalConsistentAsEmbellishmentsOf,focalConsistentAsEmbellishmentsOf (405-423),L4-DECODER,SURVIVES,CORPUS,,Ladder inherit consistency: every focal note is a template tone OR a (classifyTone) non-chord embellishment of the prevailing chord. A structural foreign note -> not a continuation. Consumes classifyTone. The continuation-gated inherit relaxation.
function,src/composing/analysis/chord/chordslicedecoder.cpp,432,candidatesForWindow,candidatesForWindow (432-489),L4-DECODER,SURVIVES,BOTH,,"THE generation step: weightedPcView -> analyzeChord(snapshot) -> project every cube cell (bass x root x template) to a ChordSliceCandidate with its vertical score. Publishes the candidate list + pcWeight/tpcForPc. Edge: empty when the window has too few distinct pcs (analyzeChord gates). L4->L5 carry: matches a cube cell to analyzeChord's <=4 ranked results for real extensions, else honest-carry default. BOUNDARY (central decoder->oracle seam): analyzeChord + ScoringSnapshot owned by the oracle session."
