kind,ident,line,func,verdict,subclass,manifest_present,flag,finding_slug,note,context
crosslayer,external,47,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/globalmodule.h
crosslayer,external,48,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,draw/internal/ifontsdatabase.h
crosslayer,external,49,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/iapplication.h
crosslayer,external,50,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/modularity/ioc.h
crosslayer,external,51,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/modularity/imodulesetup.h
crosslayer,external,52,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/io/path.h
crosslayer,types,53,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'types' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,global/types/string.h
crosslayer,types,54,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'types' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,global/types/ret.h
crosslayer,external,55,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,global/tests/mocks/applicationstub.h
crosslayer,external,58,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,draw/drawmodule.h
crosslayer,external,61,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/engravingmodule.h
crosslayer,external,62,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/engravingerrors.h
crosslayer,external,63,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/masterscore.h
crosslayer,external,64,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/measure.h
crosslayer,external,65,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/measurebase.h
crosslayer,external,66,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/segment.h
crosslayer,external,67,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/chord.h
crosslayer,external,68,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/chordrest.h
crosslayer,external,69,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/note.h
crosslayer,external,70,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/staff.h
