consumer,entry_point,carrier,field_path,read_sites,fact,role,disposition_class,a_surface_source_or_derivation
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,startTick,"212, 476-717","region start tick (raw->analyzed translate; measure layout, trim, merge, gap-fill)",decision,A-SOURCED,SegmentSummary.startTick
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,endTick,"213, 476-717",region end tick (translate; layout/trim/merge/gap boundaries),decision,A-SOURCED,SegmentSummary.endTick
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,chordResult,214,"chord identity+function, carried into AnalyzedRegion + merge/gap logic",decision,A-SOURCED,SegmentSummary + derived-chord-facts
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,alternatives,"214, 441","ranked chord candidates, carried into AnalyzedRegion (never re-read here)",carried,A-SOURCED,posterior(OI-193) (ranked alternatives)
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,hasAnalyzedChord,215,"sparse-region flag, carried into AnalyzedRegion; never read by any consumer",carried,RETIRE-CANDIDATE,no live reader; A always decodes a segment
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,keyModeResult,216,"key/mode context, carried + stabilized",decision,A-SOURCED,"SegmentSummary (tonic,isMajor,key)"
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,tones,"217, 671, 708-709","sounding tones, carried + recomputed for gap/trim regions",decision,DERIVABLE,"L1-note-surface (re-collect over [startTick,endTick))"
sectionanalyzer.cpp,analyzeSection,HarmonicRegion,temporalExtensions,218,temporal-context snapshot copied to AnalyzedRegion; no member ever field-read (comment L443),carried,RETIRE-CANDIDATE,no live reader on any consumer; decode-time-internal
sectionanalyzer.cpp,analyzeSection,chordResult.identity,rootPc,"133, 227, 251, 514","committed root: degree derivation, adjacent-merge, gap/carry tests",decision,A-SOURCED,SegmentSummary.rootPc
sectionanalyzer.cpp,analyzeSection,chordResult.identity,bassPc,252,"region bass, gap-tone-matches-bass test",decision,DERIVABLE,SegmentSummary.inversion + class members
sectionanalyzer.cpp,analyzeSection,chordResult.identity,quality,"227, 232","quality: adjacent-merge equality, Sus gap-tone block",decision,A-SOURCED,SegmentSummary.quality (derived-chord-facts)
sectionanalyzer.cpp,analyzeSection,chordResult.function,degree,"140, 275",diatonic-degree gate (degree>=0) for diatonicToKey,decision,A-SOURCED,SegmentSummary.degree
