process_order,row_id,kind,file,line,label,verdict,reasoning
1,branch|src/composing/analysis/key/keymodeanalyzer.cpp|598|1105,branch,src/composing/analysis/key/keymodeanalyzer.cpp,598,if in analyzeKeyMode,SURVIVES,Applies the declared-mode penalty only when a declared mode is supplied (declaredMode.has_value()); correct droppable-hint gate.
2,branch|src/composing/analysis/key/keymodesequence.cpp|206|1180,branch,src/composing/analysis/key/keymodesequence.cpp,206,if in populateEmissionConfidence,SURVIVES,Bounds-guards the slice index t into lat.emissions in populateEmissionConfidence; correct.
3,branch|src/composing/analysis/key/keyresolver.cpp|227|1227,branch,src/composing/analysis/key/keyresolver.cpp,227,case in resolveKeySignatureContext,SURVIVES,Maps engraving KeyMode MAJOR/IONIAN → KeySigMode::Ionian; correct declared-mode mapping.
4,branch|src/composing/analysis/region/regionanalyzer.cpp|419|1280,branch,src/composing/analysis/region/regionanalyzer.cpp,419,if in applyJointKeyWiring,SURVIVES,Bounds/null guard before reading the reference staff's key signature in applyJointKeyWiring (default-OFF path). Correct.
5,branch|src/composing/analysis/region/regionanalyzer.cpp|699|1305,branch,src/composing/analysis/region/regionanalyzer.cpp,699,if in analyzeRegions,SURVIVES,Guards a non-positive reach-back increment (breaks the loop); correct (default-OFF path).
6,branch|src/composing/analysis/region/regionanalyzer.cpp|1010|1334,branch,src/composing/analysis/region/regionanalyzer.cpp,1010,if in analyzeRegions,SURVIVES,Captures the alternatives[1..] snapshot only when results.size()>1; correct.
7,branch|src/composing/analysis/section/jointkeydecision.cpp|255|1409,branch,src/composing/analysis/section/jointkeydecision.cpp,255,if in decideJointKey,SURVIVES,Half-open span-covers-region test for the SOFT modulation emission bonus in emissionA; correct.
8,branch|src/composing/analysis/section/sectionanalyzer.cpp|246|1449,branch,src/composing/analysis/section/sectionanalyzer.cpp,246,if in analyzeSection,SURVIVES,Dedups already-seen gap pitch classes in regionSupportsGapTones; correct.
9,branch|src/composing/analysis/section/sectionanalyzer.cpp|320|1458,branch,src/composing/analysis/section/sectionanalyzer.cpp,320,if in analyzeSection,SURVIVES,Guards inferSparseGapChord against an empty pitch-class set; correct.
10,branch|src/composing/analysis/section/sectionanalyzer.cpp|470|1479,branch,src/composing/analysis/section/sectionanalyzer.cpp,470,if in analyzeSection,SURVIVES,Returns nullopt when there is no adjacent region to carry into an empty gap; correct.
11,branch|src/composing/analysis/section/sectionanalyzer.cpp|706|1513,branch,src/composing/analysis/section/sectionanalyzer.cpp,706,if in analyzeSection,SURVIVES,Measure-opening carry heuristic: a sparse opening followed within a beat by a dense region; correct multi-condition guard.
12,branch|src/composing/analysis/section/sectioncadencedetection.cpp|175|1528,branch,src/composing/analysis/section/sectioncadencedetection.cpp,175,if in detectPivotChords,SURVIVES,Skips non-assertive regions when detecting key transitions for pivots; correct 0.8-gate use.
13,branch|src/composing/analysis/section/sectioncadencedetection.cpp|246|1535,branch,src/composing/analysis/section/sectioncadencedetection.cpp,246,if in detectPivotChords,SURVIVES,Emits a pivot label only when both Roman numerals format non-empty; correct.
14,crosslayer|src/composing/analysis/section/localmodulationdetector.cpp|25|1914,crosslayer,src/composing/analysis/section/localmodulationdetector.cpp,25,include composing/analysis/chord/analysisutils.h -> chord,SURVIVES,"localmodulationdetector includes chord/analysisutils.h for normalizePc/collectionMask; functional, key-agnostic dependency."
15,crosslayer|src/composing/analysis/section/sectioncadencedetection.cpp|41|1942,crosslayer,src/composing/analysis/section/sectioncadencedetection.cpp,41,include composing/analysis/region/sparsechordrefinement.h -> region,SURVIVES,"sectioncadencedetection includes region/sparsechordrefinement.h for cra::diatonicDegreeForRootPc (used at :230/:239); functional. (The diatonic-degree helper's home in a chord-refinement header is a placement oddity, not a defect.)"
16,field|src/composing/analysis/key/keyresolver.h|97|1586,field,src/composing/analysis/key/keyresolver.h,97,KeySignatureContext::correctedFifths,PUBLISHED,KeySignatureContext::correctedFifths — the partial-signature-corrected fifths; single source of truth the L3 decoder anchors on. Published/consumed.
17,field|src/composing/analysis/key/modepriorpresets.h|59|1601,field,src/composing/analysis/key/modepriorpresets.h,59,ModePriorPreset::aeolianB5,ESTABLISHED,"ModePriorPreset default aeolianB5=-2.50; empirical, duplicates KeyModeAnalyzerPreferences.modePriorAeolianB5 (sync-test-guarded)."
18,field|src/composing/analysis/region/harmonicrhythm.h|84|1624,field,src/composing/analysis/region/harmonicrhythm.h,84,HarmonicRegion::keyModeResult,PUBLISHED,"HarmonicRegion::keyModeResult — the region's decided key/mode (L3 output on the region DTO); consumed by chord-track population, intonation, serializers. Published core fact."
19,field|src/composing/analysis/types/analysistypes.h|602|1773,field,src/composing/analysis/types/analysistypes.h,602,KeyModeAnalyzerPreferences::scaleScoreInKeySigOnly,ESTABLISHED,"scaleScoreInKeySigOnly=-0.20: L3 empirical score for chromatic-neighbour notes (in key-sig scale, not candidate); live, in-bounds [-1,0]."
20,field|src/composing/analysis/types/analysistypes.h|617|1780,field,src/composing/analysis/types/analysistypes.h,617,KeyModeAnalyzerPreferences::missingTonicPenalty,ESTABLISHED,"missingTonicPenalty=-2.50: L3 empirical penalty when the tonic is entirely absent; live in scoreTriadEvidence, in-bounds [-5,-0.5]."
21,function|src/composing/analysis/key/keymodesequence.cpp|94|28,function,src/composing/analysis/key/keymodesequence.cpp,94,stateToResult(),SURVIVES,stateToResult packs a lattice State + emission score into a KeyModeAnalysisResult (confidence set later); correct plumbing.
22,literal|src/composing/analysis/key/keymodeanalyzer.cpp|61|163,literal,src/composing/analysis/key/keymodeanalyzer.cpp,61,8 in <file-scope>,ESTABLISHED,"min6 (8) of the Harmonic Minor scale {0,2,3,5,7,8,11}; correct."
23,literal|src/composing/analysis/key/keymodeanalyzer.cpp|327|321,literal,src/composing/analysis/key/keymodeanalyzer.cpp,327,12 in scoreCharacteristicPitch,ESTABLISHED,(tonicPc+interval1)%12 pitch-class arithmetic in scoreCharacteristicPitch; standard.
24,literal|src/composing/analysis/key/keymodeanalyzer.cpp|386|335,literal,src/composing/analysis/key/keymodeanalyzer.cpp,386,4 in scoreModePrior,ESTABLISHED,scoreModePrior case 4 → modePriorMixolydian; matches MODES[4]=Mixolydian. Correct index.
25,literal|src/composing/analysis/key/keymodeanalyzer.cpp|395|343,literal,src/composing/analysis/key/keymodeanalyzer.cpp,395,12 in scoreModePrior,ESTABLISHED,scoreModePrior case 12 → modePriorAeolianB5; matches MODES[12]=Aeolian b5. Correct index.
26,literal|src/composing/analysis/key/keymodeanalyzer.h|87|399,literal,src/composing/analysis/key/keymodeanalyzer.h,87,4 in keyModeTonicOffset,ESTABLISHED,"keyModeTonicOffset[DorianB2]=4, sharing Phrygian's church-mode offset; consistent with ionianTonicPcForMode (-4)."
27,literal|src/composing/analysis/key/keymodeanalyzer.h|133|413,literal,src/composing/analysis/key/keymodeanalyzer.h,133,0.0 in <file-scope>,ESTABLISHED,Zero-init of the diagnostic KeyCandidateScore::triadEvidence field; inert.
28,literal|src/composing/analysis/key/keymodeanalyzer.h|134|414,literal,src/composing/analysis/key/keymodeanalyzer.h,134,0.0 in <file-scope>,ESTABLISHED,Zero-init of the diagnostic KeyCandidateScore::characteristicPitch field; inert.
29,literal|src/composing/analysis/key/modepriorpresets.cpp|67|506,literal,src/composing/analysis/key/modepriorpresets.cpp,67,0.50 in modePriorPresets,ESTABLISHED,Modal preset mode prior ionian=0.50; empirical.
30,literal|src/composing/analysis/key/modepriorpresets.cpp|86|525,literal,src/composing/analysis/key/modepriorpresets.cpp,86,2.50 in modePriorPresets,ESTABLISHED,Modal preset mode prior lydianSharp2=-2.50; empirical.
31,literal|src/composing/analysis/key/modepriorpresets.cpp|98|534,literal,src/composing/analysis/key/modepriorpresets.cpp,98,1.50 in modePriorPresets,ESTABLISHED,Baroque preset mode prior melodicMinor=-1.50; empirical.
32,literal|src/composing/analysis/key/modepriorpresets.cpp|121|554,literal,src/composing/analysis/key/modepriorpresets.cpp,121,2.00 in modePriorPresets,ESTABLISHED,Contemporary preset mode prior locrian=-2.00; empirical.
33,literal|src/composing/analysis/key/modepriorpresets.cpp|125|558,literal,src/composing/analysis/key/modepriorpresets.cpp,125,0.20 in modePriorPresets,ESTABLISHED,Contemporary preset mode prior lydianDominant=0.20; empirical.
34,literal|src/composing/analysis/region/regionanalyzer.cpp|453|615,literal,src/composing/analysis/region/regionanalyzer.cpp,453,12 in applyJointKeyWiring,ESTABLISHED,1u<<(t.pitch%12) pitch-class bit in the region's pc mask (default-OFF joint path); standard mod-12.
35,literal|src/composing/analysis/section/jointkeydecision.cpp|87|719,literal,src/composing/analysis/section/jointkeydecision.cpp,87,9 in <file-scope>,ESTABLISHED,"maj6 (9) of the Min6 tertian template {0,3,7,9}; standard chord vocabulary."
36,literal|src/composing/analysis/types/analysistypes.h|436|820,literal,src/composing/analysis/types/analysistypes.h,436,0.0 in bounds,ESTABLISHED,Lower bound of the L4 fitter range for stepwiseBassLookaheadBonus; consistent. L4 scope.
37,literal|src/composing/analysis/types/analysistypes.h|442|833,literal,src/composing/analysis/types/analysistypes.h,442,1.0 in bounds,ESTABLISHED,"Upper bound for harmonicBoundaryJaccardThreshold (a Jaccard ∈[0,1]); consistent. L4 scope."
38,literal|src/composing/analysis/types/analysistypes.h|443|835,literal,src/composing/analysis/types/analysistypes.h,443,1.0 in bounds,ESTABLISHED,Upper bound of the L4 fitter range for pedalTailWeightMultiplier; consistent. L4 scope.
39,literal|src/composing/analysis/types/analysistypes.h|823|916,literal,src/composing/analysis/types/analysistypes.h,823,0.0 in bounds,ESTABLISHED,"Lower bound for scaleScoreInCandidateOnly; default 0.25 in [0,1]. Consistent."
40,literal|src/composing/analysis/types/analysistypes.h|831|930,literal,src/composing/analysis/types/analysistypes.h,831,0.5 in bounds,ESTABLISHED,"Lower bound for completeTriadBonus; default 2.50 in [0.5,5]. Consistent."
