process_order,row_id,kind,file,line,label,verdict,flag,reason
1,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|391|436,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,391,if in computePhraseBoundaryProfile,SURVIVES,clean,computePhraseBoundaryProfile tau-cluster `if (rep==min || s.first-rep > tauTicks)` — start a new coincidence cluster. Correct.
2,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|157|449,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,157,if in weightedPcView,SURVIVES,clean,weightedPcView `if (!s0) return 0.75` — region-start beat-weight fallback. Correct.
3,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|292|470,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,292,if in weightedPcView,SURVIVES,clean,weightedPcView Pass-2 `if (a.totalWeight == 0.0) continue`. Correct.
4,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|108|492,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,108,if in buildTones,SURVIVES,clean,buildTones `if (sn.ppitch < lowestPpitch)` — lowest-pitch (bass) tracking. Correct.
5,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|161|496,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,161,ternary in collectPitchContext,SURVIVES,clean,collectPitchContext ternary `isLookahead ? LOOKAHEAD_WEIGHT : 1.0`. Correct.
6,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|529|530,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,529,if in findTemporalContext,SURVIVES,clean,findTemporalContext `if (currentBassPc!=-1 && previousBassPc!=-1)` — bassIsStepwiseFromPrevious. Correct.
7,branch|src/composing/analysis/scoreharvest/metricweights.cpp|48|570,branch,src/composing/analysis/scoreharvest/metricweights.cpp,48,case in beatTypeToWeight,SURVIVES,clean,beatTypeToWeight `case SIMPLE_UNSTRESSED:`. Correct.
8,branch|src/composing/analysis/scoreharvest/metricweights.cpp|80|579,branch,src/composing/analysis/scoreharvest/metricweights.cpp,80,case in regionMetricWeightForBeatType,SURVIVES,clean,regionMetricWeightForBeatType `case SIMPLE_UNSTRESSED:` -> 0.75. Correct.
9,branch|src/composing/analysis/slicing/slicer.cpp|95|593,branch,src/composing/analysis/slicing/slicer.cpp,95,if in changePointSlices,SURVIVES,clean,changePointSlices post-clip `if (boundaries.size() < 2) return slices` — degenerate single-tick loaded span -> empty partition. Correct (documented).
10,crosslayer|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|37|627,crosslayer,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,37,include engraving/dom/gradualtempochange.h -> external,SURVIVES,clean,phraseboundaryview.cpp include engraving/dom/gradualtempochange.h — external DOM; GradualTempoChange used. Layer-adherent.
11,crosslayer|src/composing/analysis/engravingbridge/regiontonecollector.cpp|23|635,crosslayer,src/composing/analysis/engravingbridge/regiontonecollector.cpp,23,include regiontonecollector.h -> external,SURVIVES,clean,regiontonecollector.cpp self-include of regiontonecollector.h — external/self. Layer-adherent.
12,crosslayer|src/composing/analysis/scoreharvest/metricweights.h|42|685,crosslayer,src/composing/analysis/scoreharvest/metricweights.h,42,include ../key/keymodeanalyzer.h -> key,SURVIVES,clean,"metricweights.h include ../key/keymodeanalyzer.h — used for KeyModeAnalyzer::PitchContext / KeyModeAnalyzerPreferences (distinctPitchClasses, beatTypeToWeight). Intrinsic type dependency of the shared key-path helpers; a scoreharvest->key coupling worth an owning-layer note, but a real used include, not a dangling back-edge."
13,crosslayer|src/composing/analysis/slicing/slicer.h|75|687,crosslayer,src/composing/analysis/slicing/slicer.h,75,include composing/analysis/notemodel/note_model.h -> notemodel,SURVIVES,clean,slicer.h include composing/analysis/notemodel/note_model.h — proper L2->L1 downward dependency. Layer-adherent.
14,decl|src/composing/analysis/engravingbridge/regiontonecollector.h|87|601,decl,src/composing/analysis/engravingbridge/regiontonecollector.h,87,trackName,SURVIVES,clean,"regiontonecollector.h:87 `trackName` — this 'decl' inventory row is an extractor over-capture (a method-call token `instrument->trackName()`, not a declaration; manifest notes the extractor is over-capture-biased). The underlying isChordTrackStaff track-name check is correct."
15,decl|src/composing/analysis/notemodel/note_model.h|215|613,decl,src/composing/analysis/notemodel/note_model.h,215,overlapping,SURVIVES,clean,"note_model.h:215 `overlapping` decl — declares NoteModel::overlapping(t0,t1); matches the definition at note_model.cpp:307. Correct."
16,field|src/composing/analysis/engravingbridge/phraseboundaryview.h|125|373,field,src/composing/analysis/engravingbridge/phraseboundaryview.h,125,VoiceBoundaryProfile::onsets,PUBLISHED,clean,"VoiceBoundaryProfile::onsets — published per-voice onset vector; dormant primitive, dormancy declared."
17,field|src/composing/analysis/engravingbridge/spellingview.h|104|386,field,src/composing/analysis/engravingbridge/spellingview.h,104,SpanSpelling::naturalCount,PUBLISHED,clean,"SpanSpelling::naturalCount — published field; consumer dormant (Phase B), dormancy declared. Invariant count==sharp+flat+natural."
18,field|src/composing/analysis/notemodel/note_model.h|86|392,field,src/composing/analysis/notemodel/note_model.h,86,NoteEvent::release,PUBLISHED,clean,NoteEvent::release — core published L1 fact (same as reading-sample row 53). PUBLISHED.
19,file|src/composing/analysis/chord/chordvoicing.cpp||10,file,src/composing/analysis/chord/chordvoicing.cpp,,L3+,L3+,clean,"chordvoicing.cpp — chord/decode (L4); correctly deferred to the L4 audit, out of L1/L2 scope. Tag confirmed."
20,file|src/composing/analysis/decode/chordpathdecoder.h||12,file,src/composing/analysis/decode/chordpathdecoder.h,,L3+,L3+,clean,decode/chordpathdecoder.h — L3 key-mode decoder scaffolding; correctly deferred to the L3 audit. Tag confirmed.
21,file|src/composing/analysis/function/functionmodulation.h||25,file,src/composing/analysis/function/functionmodulation.h,,L3+,L3+,clean,function/functionmodulation.h — function (L5); correctly deferred to the L5 audit. Tag confirmed.
22,file|src/composing/analysis/function/functionprogression.h||29,file,src/composing/analysis/function/functionprogression.h,,L3+,L3+,clean,function/functionprogression.h — function (L5); correctly deferred. Tag confirmed.
23,file|src/composing/analysis/function/functionresolver.h||33,file,src/composing/analysis/function/functionresolver.h,,L3+,L3+,clean,function/functionresolver.h — function (L5); correctly deferred. Tag confirmed.
24,file|src/composing/tests/data/nm_slice_rest.mscx||148,file,src/composing/tests/data/nm_slice_rest.mscx,,L3+,L3+,clean,tests/data/nm_slice_rest.mscx — test fixture data; out of L1/L2 source scope. Tag confirmed.
25,file|src/composing/tests/data/nm_two_staff.mscx||155,file,src/composing/tests/data/nm_two_staff.mscx,,L3+,L3+,clean,tests/data/nm_two_staff.mscx — test fixture data; out of scope. Tag confirmed.
26,file|src/composing/tests/data/reachback_anchor.musicxml||162,file,src/composing/tests/data/reachback_anchor.musicxml,,L3+,L3+,clean,tests/data/reachback_anchor.musicxml — test fixture data; out of scope. Tag confirmed.
27,file|src/composing/tests/data/s1c_unison_c.mscx||174,file,src/composing/tests/data/s1c_unison_c.mscx,,L3+,L3+,clean,tests/data/s1c_unison_c.mscx — test fixture data; out of scope. Tag confirmed.
28,file|src/composing/tests/functionprogression_tests.cpp||187,file,src/composing/tests/functionprogression_tests.cpp,,L3+,L3+,clean,tests/functionprogression_tests.cpp — test source; out of L1/L2 source scope. Tag confirmed.
29,file|src/composing/tests/grouping_tests.cpp||192,file,src/composing/tests/grouping_tests.cpp,,L3+,L3+,clean,tests/grouping_tests.cpp — test source; out of L1/L2 source scope. Tag confirmed.
30,function|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|98|218,function,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,98,collectMarkerTicks(),SURVIVES,clean,"collectMarkerTicks() — deterministic notated-marker scan (fermata/breath/keysig-change/barline/ritardando/all-rest); notation only, no key/function. Correct."
31,function|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|47|229,function,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,47,soundingAt(),SURVIVES,clean,soundingAt() — point-in-time note view (onset<=tick<release) reproducing legacy collectSoundingAt order. Correct.
32,function|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|124|232,function,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,124,collectPitchContext(),SURVIVES,clean,"collectPitchContext() — legacy DOM-walk pitch-context builder (same as reading-sample row 98). Correct, declared dual-existence."
33,function|src/composing/analysis/notemodel/note_model.cpp|286|250,function,src/composing/analysis/notemodel/note_model.cpp,286,collect(),SURVIVES,clean,NoteQueryIndex::collect() — segment-tree descent collecting overlappers in ascending index order. Correct.
34,literal|src/composing/analysis/engravingbridge/phraseboundaryview.h|86|291,literal,src/composing/analysis/engravingbridge/phraseboundaryview.h,86,0.30 in <file-scope>,ESTABLISHED,clean,0.30 wInterOnset — precision-phase surface-cue weight. Documented default.
35,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|96|299,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,96,12 in weightedPcView,ESTABLISHED,clean,12 in `voiceCountAtTick[12]` — one map per pitch class. Correct.
36,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|361|323,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,361,0.0 in weightedPcView,ESTABLISHED,clean,0.0 in `if (accum[pc].totalWeight > 0.0 && ...)` bass fallback (same as reading row 59). Correct.
37,literal|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|330|335,literal,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,330,12 in detectOnsetSubBoundaries,ESTABLISHED,clean,12 in `1u << (n->ppitch() % 12)` — pitch-class bit in the onset bitmask. Correct.
38,literal|src/composing/analysis/notemodel/note_model.cpp|268|344,literal,src/composing/analysis/notemodel/note_model.cpp,268,2 in build,ESTABLISHED,clean,"2 in `m_segMaxRel[2*v]` — segment-tree child index. Structural, correct."
39,literal|src/composing/analysis/notemodel/note_model.cpp|304|347,literal,src/composing/analysis/notemodel/note_model.cpp,304,2 in collect,ESTABLISHED,clean,"2 in `collect(2*node+1, ...)` — segment-tree right child (same as reading row 58). Correct."
40,literal|src/composing/analysis/scoreharvest/metricweights.h|58|355,literal,src/composing/analysis/scoreharvest/metricweights.h,58,8 in <file-scope>,ESTABLISHED,clean,8 LOOKAHEAD_BEATS — documented sliding-window look-ahead length constant. Established.
