cls,file,line,kind,value,my_verdict,my_flag,pass1_verdict,pass1_src,pass1_flag
CONCORDANT,chordslicedecoder.cpp,68,branch,,SURVIVES,,SURVIVES,decoder,Guard/branch in candidateBetter. SURVIVES; edge behaviour reviewed (deterministic; no unhandled case found).
CONCORDANT,chordanalyzer.cpp,780,branch,,SURVIVES,,SURVIVES,oracle,no
CONCORDANT,chordsymbolformatter.cpp,820,function,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,787,literal,1.0,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,sparsechordrefinement.cpp,68,function,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,1428,literal,8,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordslicedecoder.cpp,899,literal,2.0,ESTABLISHED,,ESTABLISHED,decoder,"Representational margin->certainty scale (boundary margin -> 0.5, 2x -> 1.0), reusing uncertaintyMargin (design §7). REPRESENTATIONAL ONLY (drives no decision) — not an inference-affecting fit constant."
CONCORDANT,chordanalyzer.cpp,717,literal,6,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,461,literal,2,ESTABLISHED,duplicated-scale-table,ESTABLISHED,satellites,
CONCORDANT,chordslicedecoder.cpp,341,function,,SURVIVES,,SURVIVES,decoder,"The three-tier ladder: Tier1 (suspension | stepIn&&stepOut) -> NCT; Tier3 (one-sided step) -> appoggiatura(stepOut)=NCT else salience; Tier2 (leapIn&&leapOut) -> CT; fallthrough (isolated / one open side) -> salience. Structure decides Tiers 1/2, weight only Tier 3 + fallthrough. Publishes ToneOutcome."
CONCORDANT,chordanalyzer.cpp,554,literal,0.0,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordanalyzer.cpp,951,literal,2,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordslicedecoder.cpp,186,function,,SURVIVES,,SURVIVES,decoder,"Lazy-extend window: base +/-contextSlices, grow to minHarmonyPcs distinct pcs OR +/-maxContextSlices. Assumes slices tile the domain contiguously (documented). Edge: clamps at the slice-vector edges; reports clampedLo/Hi for decodeSelection (null out-params keep the decode()/diagnostic caller inert). Consumes eligibleNotesInSpan for the distinct-pc probe."
CONCORDANT-CLEAN,chordsymbolformatter.cpp,109,branch,,SURVIVES,,ASSUMPTION,satellites,
CONCORDANT,chordsymbolformatter.cpp,1026,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordsymbolformatter.cpp,791,literal,7,ESTABLISHED,duplicated-scale-table,ESTABLISHED,satellites,
CONCORDANT-EXCLUDED,analysistypes.h,673,field,,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordanalyzer.h,169,branch,,SURVIVES,,SURVIVES,oracle,no
CONCORDANT,chordslicedecoder.cpp,950,branch,,SURVIVES,,SURVIVES,decoder,Guard/branch in nameOpenQuestion. SURVIVES; edge behaviour reviewed (deterministic; no unhandled case found).
CONCORDANT-EXCLUDED,analysistypes.h,620,field,,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,analysistypes.h,243,literal,0.45,ESTABLISHED,,ESTABLISHED,satellites,
CONCORDANT,chordsymbolformatter.cpp,1009,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,1431,branch,,SURVIVES,,SURVIVES,oracle,no
CONCORDANT,chordanalyzer.cpp,1454,literal,0.0,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT-CLEAN,chordsymbolformatter.cpp,924,literal,12,ESTABLISHED,,SURVIVES,satellites,
CONCORDANT-CLEAN,analysistypes.h,145,field,,SURVIVES,,PUBLISHED,satellites,
CONCORDANT,chordsymbolformatter.cpp,278,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,1462,literal,3,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,343,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,24,crosslayer,,SURVIVES,,SURVIVES,oracle,no
CONCORDANT,chordslicedecoder.h,165,field,,SURVIVES,,SURVIVES,decoder,Setting: base window half-width (seed=1). Not in param_manifest.
CONCORDANT-CLEAN,analysisutils.h,87,function,,SURVIVES,,FACT,oracle,no
CONCORDANT,chordanalyzer.cpp,568,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT-CLEAN,chordslicedecoder.h,432,field,,SURVIVES,,PUBLISHED,decoder,PUBLISHED (--decode-chords + fullspine): chordScoreMargin/confidence (the margin to the best DIFFERENT chord).
CONCORDANT-EXCLUDED,analysistypes.h,733,literal,1.0,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT-EXCLUDED,analysistypes.h,772,literal,24,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordslicedecoder.cpp,405,function,,SURVIVES,,SURVIVES,decoder,Ladder inherit consistency: every focal note is a template tone OR a (classifyTone) non-chord embellishment of the prevailing chord. A structural foreign note -> not a continuation. Consumes classifyTone. The continuation-gated inherit relaxation.
CONCORDANT,chordsymbolformatter.cpp,304,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordsymbolformatter.cpp,941,branch,,SURVIVES,l4l5-boundary,SURVIVES,satellites,
CONCORDANT-EXCLUDED,analysistypes.h,855,literal,5.0,OUT-OF-L4-SCOPE,l3-type,,,
