process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
1,decl|src/composing/analysis/function/functionprogression.h|228#0,dormant_resolver,decl,src/composing/analysis/function/functionprogression.h,228,isMetricallyStrong,,SURVIVES,"metrically-strong = local max of the metricWeight profile (parameter-free, §5.0)",predicate declaration (no value),resolver/cadence stream queries (dormant scaffolding),documented: plateau counts all strong; final slice strong vs -inf right edge; out-of-range->false,none,clean parameter-free §5.0 predicate decl; edge behaviour documented in the header,second-reader
2,branch|tools/compare_rn.py|600#0,instrument_core,branch,tools/compare_rn.py,600,if in _active_index_at,,SURVIVES,"spans are non-overlapping half-open [s,e)",index of the span containing tick,region/DCML span alignment,degenerate span e<=s skipped; no match -> None,none,correct half-open containment with a degenerate-span guard,second-reader
3,branch|tools/batch_analyze.cpp|3754#0,harness,branch,tools/batch_analyze.cpp,3754,if in runJointProbe,,SURVIVES,abstained/chordless slices do not vote on the majority root,none,runJointProbe majorityRoot (diagnostic),"handles no-chord, Abstain, negative rootPc",none,correct exclusion of non-committed slices from the duration-weighted majority root,second-reader
4,branch|tools/batch_analyze.cpp|3769#0,harness,branch,tools/batch_analyze.cpp,3769,if in runJointProbe,,SURVIVES,none,representative-slice index for bestRoot,runJointProbe (diagnostic),picks the max-overlap slice among those matching bestRoot,none,correct representative-slice selection,second-reader
5,field|src/composing/analysis/function/functionprogression.h|139#0,dormant_resolver,field,src/composing/analysis/function/functionprogression.h,139,ProgressionSlice::chord,,SURVIVES,valid only when committed==true,the committed chord (root+quality) for one slice,§5.0 licensed-fit queries,not read when committed==false,none,clean data member with documented validity precondition,second-reader
6,branch|tools/analyze_inversion_errors.py|238#0,instrument_grading_fitting,branch,tools/analyze_inversion_errors.py,238,for in main,,SURVIVES,none,alternative-quality counts,inversion-error diagnostic report,no alts -> no_alt++ handled before the loop,none,clean iteration over candidate alternatives,second-reader
7,function|src/composing/analysis/function/forwardoverride.cpp|71#0,dormant_resolver,function,src/composing/analysis/function/forwardoverride.cpp,71,forwardRecompute(),,SURVIVES,"one localized forward re-run, no back-edge",count of slices re-read,resolver override chain (dormant),re-entrant -> -1; inverted/empty range -> -1,none,bounded single-pass forward recompute with re-entrancy + range guards,second-reader
8,literal|tools/analyze_inversion_errors.py|305#0,instrument_grading_fitting,literal,tools/analyze_inversion_errors.py,305,0.25 in main,no,ESTABLISHED,none,margin-histogram bin width,diagnostic print,12 bins to 3.0 then an overflow bin >=3.0,none,diagnostic histogram bin width (cosmetic),second-reader
9,io|tools/robust_stop_diff.py|85#1,instrument_core,io,tools/robust_stop_diff.py,85,open in class_durs_from_summary,,SURVIVES,the a8 summary.json is well-formed,none (reads class-(a)/(b) durations),class_durs_from_summary -> the pass/fail gate,json.load raises on malformed input (not silent),none,reads the generated a8 summary; fails loud on malformed input,second-reader
10,literal|tools/stage5_fit_driver.py|145#0,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,145,0.2 in <module-scope>,no,ESTABLISHED,none,extensionThreshold Default baseline (per-preset abstention param),the fit driver / paramoverride,per-preset config-table entry,none,"documented parameter baseline in the fit config table (g=G5, fam=abstention); manifest-hint 'no' is an artifact of the param name being on the previous line",second-reader
