file,kind,line,ident,func,layer,verdict_class,verdict,in_param_manifest,reason
src/composing/analysis/key/keymodeanalyzer.cpp,function,125,ionianTonicPcForMode,ionianTonicPcForMode,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,168,possibleIonianFifthsForPc,possibleIonianFifthsForPc,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,189,resolveToFifths,resolveToFifths,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,228,noteWeight,noteWeight,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,238,scoreScaleMembership,scoreScaleMembership,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,265,scoreTriadEvidence,scoreTriadEvidence,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,321,scoreCharacteristicPitch,scoreCharacteristicPitch,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,363,scoreTrueLeadingTone,scoreTrueLeadingTone,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,378,scoreModePrior,scoreModePrior,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,411,scoreKeySignatureProximity,scoreKeySignatureProximity,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,429,tonalCenterScore,tonalCenterScore,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,455,applyPairwiseDisambiguation,applyPairwiseDisambiguation,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
