kind,file,ident,line,verdict_class,verdict,reason
file,src/composing/CMakeLists.txt,L3+,,SCOPE,L3+,build file — non-source
file,src/composing/analysis/CMakeLists.txt,L3+,,SCOPE,L3+,build file — non-source
file,src/composing/analysis/chord/analysisutils.h,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordanalyzer.cpp,RETIRES,,SCOPE,RETIRES,R1 legacy chord competition + Gates A-L; R9 file-split — retires at E4 (roadmap R1/R9)
file,src/composing/analysis/chord/chordanalyzer.h,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chorddiagnose.cpp,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordpostpasses.cpp,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordslicedecoder.cpp,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordslicedecoder.h,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordsymbolformatter.cpp,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/chordvoicing.cpp,L3+,,SCOPE,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
file,src/composing/analysis/chord/postscoringgates.cpp,RETIRES,,SCOPE,RETIRES,R1 legacy post-scoring Gates I/K/L — retires with the legacy competition at E4
file,src/composing/analysis/decode/chordpathdecoder.h,L3+,,SCOPE,L3+,L3 key-mode decoder scaffolding — deferred to the L3 audit
file,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,L1,,CODE,SURVIVES,ASSUMES: peak = local max above mean+k*SD (THEORY: Simple-Picker); marker spikes strictly exceed max surface strength (by spikeCeilingFactor>1) | PUBLISHES: computePhraseBoundaryProfile/phraseBoundaryTicks + pure helpers (changeRatio/localChangeProfile/maxNormalizeInPlace/pickPeaks) | CONSUMERS: see phraseboundaryview.h (dormant) | EDGES: changeRatio 0 when a+b==0; maxNormalize no-op on non-positive max; empty profile safe
