process_order,row_id,kind,file,line,label,verdict,flag,reason
1,crosslayer|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|44|634,crosslayer,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,44,include engraving/types/types.h -> types,LAYER-OK,CLEAN,downward include to engraving types; layer-respecting
2,branch|src/composing/analysis/notemodel/note_model.cpp|330|564,branch,src/composing/analysis/notemodel/note_model.cpp,330,if in onsetIn,SURVIVES,CLEAN,empty/degenerate-range guard in L1 onsetIn query; correct
3,branch|src/composing/analysis/notemodel/note_model.cpp|168|548,branch,src/composing/analysis/notemodel/note_model.cpp,168,if in rebuildForLoadedSpan,SURVIVES,CLEAN,rest/empty-slot skip in the L1 score walk; correct
4,crosslayer|src/composing/analysis/engravingbridge/regiontonecollector.h|57|649,crosslayer,src/composing/analysis/engravingbridge/regiontonecollector.h,57,include engraving/types/constants.h -> types,LAYER-OK,CLEAN,downward include to engraving constants; layer-respecting
5,literal|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|264|279,literal,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,264,0.0 in pickPeaks,ESTABLISHED,CLEAN,accumulator initializer (sum=0.0); not a tunable
6,function|src/composing/analysis/notemodel/note_model.cpp|204|246,function,src/composing/analysis/notemodel/note_model.cpp,204,extend(),SURVIVES,FLAG-MINOR,"L1 bounded-context extend(): correct+idempotent, BUT the note_model.h docstring says 'no layer calls it yet' while regionanalyzer.cpp:702 (live reach-back), chordslicedecoder.cpp:1387/1393 and textureclassifier.cpp:183/187 DO call it (#10 doc-sync)"
7,literal|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|356|338,literal,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,356,1.0 in detectOnsetSubBoundaries,ESTABLISHED,CLEAN,Jaccard-distance complement (1.0 - inter/uni); structural
8,branch|src/composing/analysis/scoreharvest/metricweights.cpp|173|590,branch,src/composing/analysis/scoreharvest/metricweights.cpp,173,if in buildPedalWindowIndex,SURVIVES,CLEAN,stable-sort tiebreak on pedal windows; correct
9,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|435|439,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,435,if in computePhraseBoundaryProfile,SURVIVES,CLEAN,marker-spike add in the (dormant) phrase primitive; correct
10,branch|src/composing/analysis/engravingbridge/spellingview.cpp|38|537,branch,src/composing/analysis/engravingbridge/spellingview.cpp,38,if in lineOfFifths,SURVIVES,CLEAN,"tpc-validity guard, the single presence test; correct (dormant primitive)"
11,crosslayer|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|33|655,crosslayer,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,33,include engraving/dom/note.h -> external,LAYER-OK,CLEAN,downward include to engraving DOM note.h
12,literal|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|249|277,literal,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,249,0.0 in maxNormalizeInPlace,ESTABLISHED,CLEAN,non-positive-max guard; not a tunable
13,crosslayer|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|35|657,crosslayer,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,35,include engraving/dom/sig.h -> external,LAYER-OK,CLEAN,downward include to engraving DOM sig.h
14,function|src/composing/analysis/engravingbridge/regiontonecollector.h|92|228,function,src/composing/analysis/engravingbridge/regiontonecollector.h,92,staffIsEligible(),SURVIVES,CLEAN,"L1 staff-eligibility predicate; live, consumed by note model+slicer+views"
15,literal|src/composing/analysis/engravingbridge/phraseboundaryview.h|91|293,literal,src/composing/analysis/engravingbridge/phraseboundaryview.h,91,1.0 in <file-scope>,UNFIT,FLAG-MINOR,"phrase peak-pick threshold offset k=1.0; hand-set precision-phase default, not established / not in a fit manifest"
16,literal|src/composing/analysis/scoreharvest/metricweights.h|104|359,literal,src/composing/analysis/scoreharvest/metricweights.h,104,4.0 in <file-scope>,ESTABLISHED,CLEAN,beats-per-decay-unit length-scale (one 4/4 measure = 4.0); structural default
17,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|295|433,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,295,if in computePhraseBoundaryProfile,SURVIVES,CLEAN,empty-voice-lines early return; correct (dormant)
18,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|317|317,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,317,0.0 in weightedPcView,ESTABLISHED,CLEAN,"pedal-tail enable guard (>0.0); the multiplier is the pref, not this literal"
19,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|141|408,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,141,if in collectMarkerTicks,SURVIVES,CLEAN,key-sig element test in marker scan; correct (dormant)
20,function|src/composing/analysis/notemodel/note_model.cpp|89|243,function,src/composing/analysis/notemodel/note_model.cpp,89,build(),SURVIVES,CLEAN,whole-score L1 build delegate; live spine; byte-identical degenerate case
21,crosslayer|src/composing/analysis/scoreharvest/metricweights.cpp|23|674,crosslayer,src/composing/analysis/scoreharvest/metricweights.cpp,23,include metricweights.h -> external,LAYER-OK,CLEAN,self header include
22,literal|src/composing/analysis/slicing/slicer.cpp|59|361,literal,src/composing/analysis/slicing/slicer.cpp,59,2 in changePointSlices,ESTABLISHED,CLEAN,need >=2 boundaries to form a slice; structural
23,field|src/composing/analysis/engravingbridge/spellingview.h|102|384,field,src/composing/analysis/engravingbridge/spellingview.h,102,SpanSpelling::sharpCount,PUBLISHED,FLAG-MINOR,"SpanSpelling::sharpCount output field; the primitive has ZERO production consumers (spellingview appears only in itself + tests) - dormant, declared Phase B"
24,branch|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|510|529,branch,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,510,if in findTemporalContext,SURVIVES,FLAG,"control flow inside findTemporalContext, which constructs+runs the full Layer-4 chord analyzer (analyzeChord/applyPostScoringGates) from an L1-tagged file - upward L1->L4 dependency (#7)"
25,literal|src/composing/analysis/notemodel/note_model.cpp|268|343,literal,src/composing/analysis/notemodel/note_model.cpp,268,2 in build,ESTABLISHED,CLEAN,binary-tree child index (2*v); structural
26,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|297|312,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,297,1.0 in weightedPcView,ESTABLISHED,CLEAN,base multiplier identity 1.0 in (1.0 + 0.3*(distinct-1)); the 0.3 co-located is the knob
27,crosslayer|src/composing/analysis/notemodel/note_model.cpp|31|667,crosslayer,src/composing/analysis/notemodel/note_model.cpp,31,include engraving/dom/measure.h -> external,LAYER-OK,CLEAN,downward include to engraving DOM measure.h
28,branch|src/composing/analysis/scoreharvest/metricweights.cpp|142|585,branch,src/composing/analysis/scoreharvest/metricweights.cpp,142,if in buildPedalWindowIndex,SURVIVES,CLEAN,pedal-spanner type filter; correct
29,field|src/composing/analysis/engravingbridge/phraseboundaryview.h|126|374,field,src/composing/analysis/engravingbridge/phraseboundaryview.h,126,VoiceBoundaryProfile::strength,PUBLISHED,FLAG-MINOR,"VoiceBoundaryProfile::strength output field; dormant primitive (consumers gated-off/dormant per header), load-bearing only at L5 engage"
30,literal|src/composing/analysis/scoreharvest/metricweights.h|60|357,literal,src/composing/analysis/scoreharvest/metricweights.h,60,0.7 in <file-scope>,UNFIT,FLAG-MINOR,"DECAY_RATE=0.7 windowed-evidence decay; hand-set inference magnitude, not in a fit manifest"
31,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|212|457,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,212,if in weightedPcView,SURVIVES,CLEAN,view eligibility filter (staff/play/visible/grace); live spine; correct
32,branch|src/composing/analysis/scoreharvest/metricweights.cpp|46|568,branch,src/composing/analysis/scoreharvest/metricweights.cpp,46,case in beatTypeToWeight,SURVIVES,CLEAN,prefs-driven beat-type case (COMPOUND_UNSTRESSED); correct
33,crosslayer|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|38|659,crosslayer,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,38,include composing/analysis/chord/chordanalyzer.h -> chord,LAYER-UPWARD,FLAG,an L1-tagged file includes the Layer-4 chord analyzer header - the upward include enabling findTemporalContext's L4 call (#7)
34,crosslayer|src/composing/analysis/scoreharvest/metricweights.cpp|35|682,crosslayer,src/composing/analysis/scoreharvest/metricweights.cpp,35,include engraving/types/types.h -> types,LAYER-OK,CLEAN,downward include to engraving types.h
